date;army;Sajid Javid;Green jobs;Buzz Aldrin;air travel;isPartial
2023-01-01;82;0;2;1;5;False
2023-01-02;81;0;4;0;5;False
2023-01-03;82;0;4;0;4;False
2023-01-04;84;0;4;2;5;False
2023-01-05;82;0;4;1;4;False
2023-01-06;90;1;2;0;4;False
2023-01-07;84;0;2;0;3;False
2023-01-08;91;1;2;0;5;False
2023-01-09;81;0;4;0;3;False
2023-01-10;87;0;3;0;5;False
2023-01-11;85;0;5;0;5;False
2023-01-12;85;1;4;0;4;False
2023-01-13;80;1;3;1;4;False
2023-01-14;77;0;1;0;3;False
2023-01-15;86;0;4;1;4;False
2023-01-16;88;0;5;0;4;False
2023-01-17;86;0;4;1;3;False
2023-01-18;82;1;5;1;5;False
2023-01-19;82;0;4;1;4;False
2023-01-20;86;0;3;1;4;False
2023-01-21;88;19;3;58;4;False
2023-01-22;89;12;3;24;4;False
2023-01-23;94;5;5;6;4;False
2023-01-24;90;2;4;3;3;False
2023-01-25;89;1;3;2;5;False
2023-01-26;88;0;4;1;4;False
2023-01-27;81;2;4;1;3;False
2023-01-28;77;1;3;2;4;False
2023-01-29;89;1;3;1;4;False
2023-01-30;100;0;4;1;6;False
2023-01-31;95;0;3;1;5;False
