date;Digital music and audio;Cottages;Miranda Lambert;Gun crime;air travel;isPartial
2023-01-01;0;88;0;1;4;False
2023-01-02;0;97;0;0;5;False
2023-01-03;0;81;0;1;3;False
2023-01-04;0;82;0;1;4;False
2023-01-05;0;72;0;0;4;False
2023-01-06;0;72;0;0;4;False
2023-01-07;0;79;0;1;3;False
2023-01-08;0;100;0;1;4;False
2023-01-09;0;75;0;0;2;False
2023-01-10;0;72;0;1;4;False
2023-01-11;0;72;0;0;4;False
2023-01-12;0;69;0;1;4;False
2023-01-13;0;63;0;0;3;False
2023-01-14;0;75;0;1;3;False
2023-01-15;0;92;0;2;3;False
2023-01-16;0;71;0;0;3;False
2023-01-17;0;66;0;1;3;False
2023-01-18;0;65;0;0;4;False
2023-01-19;0;60;0;0;4;False
2023-01-20;0;59;0;0;3;False
2023-01-21;0;78;1;0;3;False
2023-01-22;0;83;0;1;4;False
2023-01-23;0;66;0;0;4;False
2023-01-24;0;69;0;1;3;False
2023-01-25;0;63;0;0;4;False
2023-01-26;0;61;0;0;3;False
2023-01-27;0;62;0;0;2;False
2023-01-28;0;70;0;0;3;False
2023-01-29;0;82;1;0;3;False
2023-01-30;0;69;0;0;5;False
2023-01-31;0;63;0;0;4;False
