date;The Kennedys;rishi sunak;bradford;metoo;air travel;isPartial
2023-01-01;0;9;100;0;3;False
2023-01-02;0;13;97;0;4;False
2023-01-03;0;12;87;0;2;False
2023-01-04;0;44;82;0;4;False
2023-01-05;0;29;82;0;3;False
2023-01-06;0;30;86;0;3;False
2023-01-07;0;24;78;0;2;False
2023-01-08;0;25;80;0;4;False
2023-01-09;0;19;89;1;2;False
2023-01-10;0;13;95;0;3;False
2023-01-11;0;17;85;0;4;False
2023-01-12;0;21;91;0;3;False
2023-01-13;0;14;88;1;3;False
2023-01-14;0;10;88;0;2;False
2023-01-15;0;8;81;0;3;False
2023-01-16;0;8;96;0;3;False
2023-01-17;0;10;85;0;2;False
2023-01-18;0;10;85;0;3;False
2023-01-19;0;20;82;0;3;False
2023-01-20;0;33;86;1;2;False
2023-01-21;0;18;99;0;3;False
2023-01-22;0;13;77;0;3;False
2023-01-23;0;17;87;0;3;False
2023-01-24;0;9;91;0;2;False
2023-01-25;0;13;88;1;3;False
2023-01-26;0;10;80;0;3;False
2023-01-27;0;11;86;0;2;False
2023-01-28;0;9;86;0;3;False
2023-01-29;1;16;84;0;3;False
2023-01-30;0;21;89;0;4;False
2023-01-31;0;11;91;0;4;False
