date;Safaris;New Zealand rugby union team;British Airways;Othello;air travel;isPartial
2023-01-01;0;0;83;3;4;False
2023-01-02;1;0;90;3;4;False
2023-01-03;2;0;99;4;3;False
2023-01-04;2;0;87;5;4;False
2023-01-05;1;0;90;5;3;False
2023-01-06;1;0;94;4;4;False
2023-01-07;0;0;79;4;3;False
2023-01-08;1;0;100;5;4;False
2023-01-09;1;0;88;5;2;False
2023-01-10;1;0;88;5;4;False
2023-01-11;1;0;81;5;4;False
2023-01-12;1;0;78;5;4;False
2023-01-13;0;1;75;3;3;False
2023-01-14;1;0;78;4;3;False
2023-01-15;2;0;89;4;3;False
2023-01-16;1;0;82;4;3;False
2023-01-17;1;1;76;4;3;False
2023-01-18;1;0;77;4;4;False
2023-01-19;0;0;74;4;3;False
2023-01-20;0;0;75;3;3;False
2023-01-21;1;0;74;4;3;False
2023-01-22;1;0;83;3;3;False
2023-01-23;1;0;86;4;3;False
2023-01-24;1;0;76;4;3;False
2023-01-25;1;0;79;6;4;False
2023-01-26;0;0;73;4;3;False
2023-01-27;0;0;72;4;2;False
2023-01-28;1;1;75;2;3;False
2023-01-29;1;0;89;3;3;False
2023-01-30;1;0;88;4;5;False
2023-01-31;1;0;86;3;4;False
