date;Conservation and indigenous people;Lenny Kravitz;Roger Federer;Social trends;air travel;isPartial
2023-01-01;0;26;20;0;67;False
2023-01-02;0;8;5;10;79;False
2023-01-03;0;18;17;10;51;False
2023-01-04;0;13;5;10;77;False
2023-01-05;0;8;14;9;63;False
2023-01-06;0;17;12;0;64;False
2023-01-07;0;20;16;0;46;False
2023-01-08;0;16;10;0;74;False
2023-01-09;0;0;9;18;43;False
2023-01-10;0;11;14;15;69;False
2023-01-11;0;13;33;7;78;False
2023-01-12;0;7;0;0;65;False
2023-01-13;0;19;14;18;52;False
2023-01-14;0;0;12;0;49;False
2023-01-15;0;24;22;0;58;False
2023-01-16;0;17;17;13;60;False
2023-01-17;0;13;30;9;48;False
2023-01-18;0;17;28;9;70;False
2023-01-19;0;19;52;13;63;False
2023-01-20;0;11;29;0;51;False
2023-01-21;0;24;31;0;55;False
2023-01-22;0;7;24;0;61;False
2023-01-23;0;9;17;7;63;False
2023-01-24;0;11;23;0;48;False
2023-01-25;0;9;44;9;66;False
2023-01-26;0;12;12;7;59;False
2023-01-27;0;72;17;0;41;False
2023-01-28;0;100;17;0;57;False
2023-01-29;0;96;61;6;52;False
2023-01-30;0;25;59;11;87;False
2023-01-31;0;44;34;4;73;False
