date;Brett Kavanaugh;Tennis;Urbanisation;Organ donation;air travel;isPartial
2023-01-01;0;28;0;0;2;False
2023-01-02;0;37;0;0;2;False
2023-01-03;0;32;0;0;1;False
2023-01-04;0;32;0;1;2;False
2023-01-05;0;32;0;0;2;False
2023-01-06;0;33;0;0;2;False
2023-01-07;0;36;0;1;1;False
2023-01-08;0;36;0;0;2;False
2023-01-09;0;27;0;0;1;False
2023-01-10;0;30;1;0;2;False
2023-01-11;0;31;1;0;2;False
2023-01-12;0;32;0;0;2;False
2023-01-13;0;33;0;0;1;False
2023-01-14;0;38;0;0;1;False
2023-01-15;0;39;1;1;2;False
2023-01-16;0;50;1;0;2;False
2023-01-17;0;60;1;0;1;False
2023-01-18;0;60;1;1;2;False
2023-01-19;0;100;0;1;2;False
2023-01-20;0;63;0;0;1;False
2023-01-21;1;87;1;0;2;False
2023-01-22;0;62;0;0;2;False
2023-01-23;0;49;1;0;2;False
2023-01-24;0;47;1;0;1;False
2023-01-25;0;48;1;0;2;False
2023-01-26;0;43;0;1;2;False
2023-01-27;0;46;0;0;1;False
2023-01-28;0;55;1;0;2;False
2023-01-29;0;65;0;0;1;False
2023-01-30;0;36;1;0;2;False
2023-01-31;0;33;1;0;2;False
