date;placido domingo;Ghana;joe biden;new jersey;air travel;isPartial
2023-01-01;0;65;14;29;14;False
2023-01-02;2;65;7;17;16;False
2023-01-03;0;100;9;20;10;False
2023-01-04;0;74;18;22;16;False
2023-01-05;1;69;10;23;13;False
2023-01-06;0;56;12;24;13;False
2023-01-07;1;71;13;23;9;False
2023-01-08;1;69;14;26;15;False
2023-01-09;0;60;10;22;9;False
2023-01-10;0;71;14;23;14;False
2023-01-11;0;61;36;21;16;False
2023-01-12;0;67;60;25;13;False
2023-01-13;0;65;36;23;11;False
2023-01-14;0;66;31;19;10;False
2023-01-15;1;97;37;22;12;False
2023-01-16;0;77;12;22;12;False
2023-01-17;0;60;13;25;10;False
2023-01-18;0;65;11;22;14;False
2023-01-19;0;87;11;15;13;False
2023-01-20;0;64;10;19;10;False
2023-01-21;0;62;14;19;11;False
2023-01-22;0;63;49;24;12;False
2023-01-23;3;83;24;22;13;False
2023-01-24;2;69;9;22;10;False
2023-01-25;0;66;16;19;13;False
2023-01-26;0;56;12;17;12;False
2023-01-27;0;61;11;20;8;False
2023-01-28;1;82;17;17;12;False
2023-01-29;0;56;10;25;11;False
2023-01-30;1;72;10;25;18;False
2023-01-31;0;71;11;24;15;False
