date;Main course;Online shopping;Meditation;Cycling;air travel;isPartial
2023-01-01;2;64;41;89;10;False
2023-01-02;3;76;54;98;12;False
2023-01-03;2;68;50;88;8;False
2023-01-04;2;70;54;80;12;False
2023-01-05;2;68;40;84;10;False
2023-01-06;2;62;39;80;10;False
2023-01-07;1;60;47;88;7;False
2023-01-08;1;61;52;100;11;False
2023-01-09;2;66;50;76;7;False
2023-01-10;2;63;47;91;10;False
2023-01-11;4;66;47;77;12;False
2023-01-12;8;67;50;76;10;False
2023-01-13;3;51;35;80;8;False
2023-01-14;3;63;38;81;7;False
2023-01-15;3;61;48;90;9;False
2023-01-16;0;60;45;85;9;False
2023-01-17;3;69;47;80;7;False
2023-01-18;2;55;46;71;10;False
2023-01-19;2;65;45;72;9;False
2023-01-20;2;72;39;79;8;False
2023-01-21;2;65;42;83;8;False
2023-01-22;0;59;40;97;9;False
2023-01-23;2;60;43;89;9;False
2023-01-24;3;61;47;78;7;False
2023-01-25;4;68;47;79;10;False
2023-01-26;1;66;43;70;9;False
2023-01-27;3;57;41;82;6;False
2023-01-28;2;71;36;82;9;False
2023-01-29;1;59;47;89;8;False
2023-01-30;2;64;46;84;13;False
2023-01-31;0;63;45;79;11;False
