date;Computing;Belarus;Cambodia;hs2;air travel;isPartial
2023-01-01;8;6;14;8;9;False
2023-01-02;14;5;15;16;11;False
2023-01-03;20;6;16;11;7;False
2023-01-04;24;7;15;13;11;False
2023-01-05;24;10;16;10;9;False
2023-01-06;23;6;12;12;9;False
2023-01-07;13;3;14;7;6;False
2023-01-08;15;7;15;7;10;False
2023-01-09;26;5;16;8;6;False
2023-01-10;26;4;14;10;9;False
2023-01-11;29;6;11;11;11;False
2023-01-12;30;6;12;13;9;False
2023-01-13;26;4;14;10;7;False
2023-01-14;10;6;11;7;7;False
2023-01-15;15;5;16;7;8;False
2023-01-16;27;10;15;9;8;False
2023-01-17;27;10;13;14;7;False
2023-01-18;30;8;11;11;10;False
2023-01-19;28;6;14;13;9;False
2023-01-20;23;6;11;9;7;False
2023-01-21;11;7;13;8;8;False
2023-01-22;12;6;21;11;8;False
2023-01-23;25;14;14;14;9;False
2023-01-24;27;7;14;10;7;False
2023-01-25;31;4;13;12;9;False
2023-01-26;30;10;10;18;8;False
2023-01-27;22;5;15;100;6;False
2023-01-28;9;10;11;21;8;False
2023-01-29;18;5;25;14;7;False
2023-01-30;26;7;15;17;12;False
2023-01-31;29;8;15;13;10;False
