date;British & Irish Lions;Champions Cup;Gianni Infantino;Michelangelo;air travel;isPartial
2023-01-01;0;10;0;8;20;False
2023-01-02;0;13;3;10;24;False
2023-01-03;4;10;15;4;16;False
2023-01-04;3;8;8;7;24;False
2023-01-05;2;10;0;11;19;False
2023-01-06;0;17;5;3;20;False
2023-01-07;0;23;0;9;14;False
2023-01-08;0;31;2;16;22;False
2023-01-09;4;15;2;7;13;False
2023-01-10;0;22;4;11;21;False
2023-01-11;2;25;0;7;24;False
2023-01-12;0;12;0;17;20;False
2023-01-13;5;28;0;9;16;False
2023-01-14;3;53;0;14;15;False
2023-01-15;0;60;0;10;18;False
2023-01-16;0;23;2;4;18;False
2023-01-17;5;12;0;11;15;False
2023-01-18;0;15;0;10;21;False
2023-01-19;0;13;0;10;19;False
2023-01-20;0;31;2;15;16;False
2023-01-21;2;80;0;12;17;False
2023-01-22;0;100;0;9;19;False
2023-01-23;0;32;0;10;19;False
2023-01-24;0;23;0;11;15;False
2023-01-25;0;14;0;13;20;False
2023-01-26;0;16;0;9;18;False
2023-01-27;0;18;0;8;13;False
2023-01-28;0;20;0;12;18;False
2023-01-29;0;24;0;10;16;False
2023-01-30;2;21;0;6;27;False
2023-01-31;5;15;2;8;22;False
