date;Netflix;Beef;Warren Gatland;Elvis Presley;air travel;isPartial
2023-01-01;100;38;0;4;1;False
2023-01-02;84;23;0;2;1;False
2023-01-03;69;20;0;2;1;False
2023-01-04;60;18;0;1;1;False
2023-01-05;61;18;0;1;1;False
2023-01-06;67;17;0;1;1;False
2023-01-07;73;24;0;3;1;False
2023-01-08;79;31;0;4;1;False
2023-01-09;59;17;0;2;0;False
2023-01-10;55;17;0;1;1;False
2023-01-11;53;16;0;2;1;False
2023-01-12;54;18;0;3;1;False
2023-01-13;53;16;0;49;1;False
2023-01-14;75;22;0;15;1;False
2023-01-15;67;28;0;7;1;False
2023-01-16;48;17;0;3;1;False
2023-01-17;46;17;0;3;1;False
2023-01-18;50;17;0;3;1;False
2023-01-19;51;17;0;3;1;False
2023-01-20;60;17;0;3;1;False
2023-01-21;67;24;0;4;1;False
2023-01-22;65;29;0;4;1;False
2023-01-23;55;19;0;2;1;False
2023-01-24;50;18;0;2;1;False
2023-01-25;47;17;0;2;1;False
2023-01-26;48;16;0;1;1;False
2023-01-27;55;16;0;2;0;False
2023-01-28;73;20;0;2;1;False
2023-01-29;65;28;0;3;1;False
2023-01-30;45;17;0;2;1;False
2023-01-31;48;17;0;2;1;False
