date;Justin Welby;BMW;Welsh Rugby Union;kwasi kwarteng;air travel;isPartial
2023-01-01;1;73;0;0;2;False
2023-01-02;0;84;0;0;3;False
2023-01-03;0;80;0;0;2;False
2023-01-04;0;84;0;0;3;False
2023-01-05;0;82;1;1;2;False
2023-01-06;0;86;0;0;2;False
2023-01-07;0;89;0;0;2;False
2023-01-08;0;84;0;0;3;False
2023-01-09;0;85;0;0;2;False
2023-01-10;0;85;0;0;2;False
2023-01-11;0;83;0;0;3;False
2023-01-12;1;84;0;0;2;False
2023-01-13;0;85;0;0;2;False
2023-01-14;0;91;0;0;2;False
2023-01-15;0;95;0;0;2;False
2023-01-16;0;97;0;1;2;False
2023-01-17;0;84;0;0;2;False
2023-01-18;0;86;0;1;2;False
2023-01-19;0;83;0;0;2;False
2023-01-20;1;88;0;0;2;False
2023-01-21;1;99;0;0;2;False
2023-01-22;0;88;0;0;2;False
2023-01-23;0;92;0;0;2;False
2023-01-24;0;90;1;0;2;False
2023-01-25;0;85;1;0;2;False
2023-01-26;0;84;0;0;2;False
2023-01-27;0;90;0;0;1;False
2023-01-28;0;100;0;0;2;False
2023-01-29;0;92;0;0;2;False
2023-01-30;0;95;0;0;3;False
2023-01-31;0;88;1;0;3;False
