date;Delhi;State pensions;North Macedonia;R&B;air travel;isPartial
2023-01-01;72;2;13;12;22;False
2023-01-02;81;3;19;14;26;False
2023-01-03;86;2;12;7;17;False
2023-01-04;80;12;7;11;25;False
2023-01-05;78;3;12;13;21;False
2023-01-06;74;5;10;21;21;False
2023-01-07;83;2;6;11;15;False
2023-01-08;92;2;5;11;24;False
2023-01-09;84;0;0;11;14;False
2023-01-10;78;4;5;16;22;False
2023-01-11;74;8;6;1;25;False
2023-01-12;84;5;8;14;21;False
2023-01-13;74;5;2;11;17;False
2023-01-14;93;2;6;16;16;False
2023-01-15;81;4;6;15;19;False
2023-01-16;81;6;3;15;19;False
2023-01-17;59;4;4;17;16;False
2023-01-18;71;8;3;16;23;False
2023-01-19;74;4;10;16;21;False
2023-01-20;79;5;5;16;17;False
2023-01-21;76;4;3;15;18;False
2023-01-22;89;2;5;21;20;False
2023-01-23;81;4;2;27;20;False
2023-01-24;100;4;9;14;16;False
2023-01-25;73;5;5;13;21;False
2023-01-26;66;5;5;13;19;False
2023-01-27;69;7;4;15;13;False
2023-01-28;82;2;6;14;19;False
2023-01-29;82;4;5;10;17;False
2023-01-30;77;4;2;17;28;False
2023-01-31;63;6;6;11;24;False
