date;Windows 11;Weightlifting;Guantánamo Bay;Jair Bolsonaro;air travel;isPartial
2023-01-01;78;11;0;4;12;False
2023-01-02;85;12;0;14;14;False
2023-01-03;92;10;0;2;9;False
2023-01-04;91;12;2;0;14;False
2023-01-05;88;8;0;0;11;False
2023-01-06;95;9;3;1;11;False
2023-01-07;82;6;0;0;8;False
2023-01-08;86;6;0;5;13;False
2023-01-09;87;10;0;11;8;False
2023-01-10;96;10;0;12;12;False
2023-01-11;100;5;0;6;14;False
2023-01-12;100;6;0;2;11;False
2023-01-13;95;9;0;1;9;False
2023-01-14;85;6;0;0;9;False
2023-01-15;81;7;0;2;10;False
2023-01-16;87;9;0;0;10;False
2023-01-17;83;7;0;0;8;False
2023-01-18;88;11;0;1;12;False
2023-01-19;90;6;0;0;11;False
2023-01-20;83;6;0;2;9;False
2023-01-21;82;11;0;0;10;False
2023-01-22;77;9;0;2;11;False
2023-01-23;92;9;0;0;11;False
2023-01-24;91;7;1;0;8;False
2023-01-25;96;8;0;1;11;False
2023-01-26;74;6;1;0;10;False
2023-01-27;88;11;1;0;7;False
2023-01-28;82;8;1;1;10;False
2023-01-29;81;9;0;0;9;False
2023-01-30;94;8;0;0;15;False
2023-01-31;97;9;0;0;13;False
