date;County Championship;Serie A;Acting;olivia wilde;air travel;isPartial
2023-01-01;1;17;19;6;6;False
2023-01-02;2;13;18;6;7;False
2023-01-03;0;14;17;3;4;False
2023-01-04;1;74;21;3;7;False
2023-01-05;1;22;20;3;6;False
2023-01-06;1;14;18;5;6;False
2023-01-07;1;42;20;5;4;False
2023-01-08;1;67;21;3;6;False
2023-01-09;0;29;21;2;4;False
2023-01-10;0;17;19;3;6;False
2023-01-11;0;13;21;1;7;False
2023-01-12;1;15;20;2;6;False
2023-01-13;0;45;21;4;5;False
2023-01-14;1;72;19;4;4;False
2023-01-15;0;60;20;5;5;False
2023-01-16;0;32;23;3;5;False
2023-01-17;1;20;19;3;4;False
2023-01-18;0;19;21;4;6;False
2023-01-19;1;18;20;2;6;False
2023-01-20;1;71;18;2;5;False
2023-01-21;2;85;21;3;5;False
2023-01-22;0;79;20;4;5;False
2023-01-23;1;44;24;2;6;False
2023-01-24;0;40;27;2;4;False
2023-01-25;0;24;21;3;6;False
2023-01-26;0;16;20;1;5;False
2023-01-27;0;23;17;3;4;False
2023-01-28;2;42;19;3;5;False
2023-01-29;1;100;20;4;5;False
2023-01-30;1;38;20;3;8;False
2023-01-31;2;22;21;2;6;False
