date;alexei navalny;drew barrymore;Internet;jeremy clarkson;air travel;isPartial
2023-01-01;0;7;77;6;3;False
2023-01-02;0;3;88;12;4;False
2023-01-03;1;2;94;7;3;False
2023-01-04;1;3;87;6;4;False
2023-01-05;0;1;89;5;3;False
2023-01-06;0;3;97;5;3;False
2023-01-07;0;3;83;4;2;False
2023-01-08;0;2;86;23;4;False
2023-01-09;0;2;93;19;2;False
2023-01-10;0;3;96;10;3;False
2023-01-11;0;1;94;6;4;False
2023-01-12;0;2;93;5;3;False
2023-01-13;1;1;91;4;3;False
2023-01-14;1;1;86;6;2;False
2023-01-15;0;2;81;6;3;False
2023-01-16;0;2;91;57;3;False
2023-01-17;0;1;92;67;2;False
2023-01-18;0;2;97;34;3;False
2023-01-19;0;3;96;26;3;False
2023-01-20;0;2;93;22;3;False
2023-01-21;0;3;89;14;3;False
2023-01-22;0;3;82;15;3;False
2023-01-23;0;3;92;14;3;False
2023-01-24;0;3;97;5;2;False
2023-01-25;0;1;97;6;3;False
2023-01-26;1;2;89;5;3;False
2023-01-27;0;3;88;4;2;False
2023-01-28;0;3;83;6;3;False
2023-01-29;0;2;81;18;3;False
2023-01-30;0;2;98;8;4;False
2023-01-31;0;2;100;6;4;False
