date;Florence holidays;Football League;Agriculture;Wiltshire;air travel;isPartial
2023-01-01;1;66;3;29;4;False
2023-01-02;1;70;5;33;5;False
2023-01-03;0;60;7;32;3;False
2023-01-04;0;55;7;34;5;False
2023-01-05;0;42;6;32;4;False
2023-01-06;1;41;5;30;4;False
2023-01-07;1;74;4;23;3;False
2023-01-08;1;60;4;27;5;False
2023-01-09;1;40;8;32;3;False
2023-01-10;0;40;7;31;5;False
2023-01-11;0;39;7;28;5;False
2023-01-12;1;41;7;33;4;False
2023-01-13;1;42;5;32;3;False
2023-01-14;1;100;3;23;3;False
2023-01-15;0;90;7;26;4;False
2023-01-16;0;43;7;30;4;False
2023-01-17;1;36;6;29;3;False
2023-01-18;1;39;8;28;5;False
2023-01-19;1;47;7;29;4;False
2023-01-20;1;41;5;29;3;False
2023-01-21;0;93;5;22;4;False
2023-01-22;0;85;4;24;4;False
2023-01-23;0;50;8;28;4;False
2023-01-24;1;53;8;31;3;False
2023-01-25;1;40;8;30;4;False
2023-01-26;0;31;8;28;4;False
2023-01-27;1;40;6;28;3;False
2023-01-28;0;81;3;23;4;False
2023-01-29;1;76;5;19;3;False
2023-01-30;0;42;6;31;6;False
2023-01-31;0;44;8;30;5;False
