date;coleen rooney;Halfords;Fashion;Cop15;air travel;isPartial
2023-01-01;2;80;51;0;3;False
2023-01-02;2;100;61;0;4;False
2023-01-03;1;81;58;0;2;False
2023-01-04;2;71;56;1;4;False
2023-01-05;1;69;58;0;3;False
2023-01-06;1;76;57;1;3;False
2023-01-07;2;82;53;0;2;False
2023-01-08;0;78;66;0;4;False
2023-01-09;1;71;60;0;2;False
2023-01-10;1;63;59;0;3;False
2023-01-11;1;63;59;0;4;False
2023-01-12;1;65;62;0;3;False
2023-01-13;1;71;56;0;3;False
2023-01-14;1;77;58;0;2;False
2023-01-15;5;77;61;0;3;False
2023-01-16;1;72;60;0;3;False
2023-01-17;1;73;59;0;2;False
2023-01-18;0;72;62;1;3;False
2023-01-19;1;69;58;0;3;False
2023-01-20;1;75;58;0;3;False
2023-01-21;1;89;65;0;3;False
2023-01-22;0;86;59;0;3;False
2023-01-23;1;82;68;0;3;False
2023-01-24;1;67;69;1;2;False
2023-01-25;1;70;66;0;3;False
2023-01-26;1;70;60;0;3;False
2023-01-27;1;73;58;0;2;False
2023-01-28;1;90;53;0;3;False
2023-01-29;0;79;60;0;3;False
2023-01-30;0;79;61;0;4;False
2023-01-31;0;78;63;0;4;False
