date;buffalo shooting;Jürgen Klopp;lloyds;Crowdfunding;air travel;isPartial
2023-01-01;0;0;42;0;1;False
2023-01-02;0;0;59;0;2;False
2023-01-03;0;0;99;0;1;False
2023-01-04;0;0;88;0;2;False
2023-01-05;0;0;79;0;1;False
2023-01-06;0;0;88;0;1;False
2023-01-07;0;0;48;0;1;False
2023-01-08;0;0;44;0;2;False
2023-01-09;0;0;91;0;1;False
2023-01-10;0;0;69;0;1;False
2023-01-11;0;0;73;0;2;False
2023-01-12;0;0;90;0;1;False
2023-01-13;0;0;85;1;1;False
2023-01-14;0;0;51;0;1;False
2023-01-15;0;0;43;0;1;False
2023-01-16;0;0;92;1;1;False
2023-01-17;0;0;79;1;1;False
2023-01-18;0;0;88;0;1;False
2023-01-19;0;0;86;1;1;False
2023-01-20;0;0;93;0;1;False
2023-01-21;0;0;56;0;1;False
2023-01-22;0;0;42;0;1;False
2023-01-23;0;0;93;0;1;False
2023-01-24;0;0;93;1;1;False
2023-01-25;0;0;89;1;1;False
2023-01-26;0;0;84;1;1;False
2023-01-27;0;0;87;1;1;False
2023-01-28;0;0;51;0;1;False
2023-01-29;0;0;45;0;1;False
2023-01-30;0;0;100;0;2;False
2023-01-31;0;0;94;0;2;False
