date;Dominic Raab;Thinktanks;japan;Gig economy;air travel;isPartial
2023-01-01;0;0;93;1;6;False
2023-01-02;1;0;91;0;7;False
2023-01-03;0;0;93;1;4;False
2023-01-04;0;0;91;1;7;False
2023-01-05;0;0;80;1;5;False
2023-01-06;0;0;81;0;5;False
2023-01-07;0;0;73;0;4;False
2023-01-08;0;0;87;0;6;False
2023-01-09;0;0;89;0;4;False
2023-01-10;1;0;80;0;6;False
2023-01-11;1;0;81;1;7;False
2023-01-12;1;0;82;1;6;False
2023-01-13;0;0;79;1;4;False
2023-01-14;0;1;80;0;4;False
2023-01-15;1;0;85;0;5;False
2023-01-16;1;1;79;1;5;False
2023-01-17;1;0;76;1;4;False
2023-01-18;2;0;79;0;6;False
2023-01-19;1;0;88;1;5;False
2023-01-20;2;0;81;0;4;False
2023-01-21;4;0;86;1;5;False
2023-01-22;0;0;100;2;5;False
2023-01-23;2;0;84;1;5;False
2023-01-24;1;0;96;0;4;False
2023-01-25;3;1;81;1;6;False
2023-01-26;8;0;75;1;5;False
2023-01-27;2;0;79;1;4;False
2023-01-28;5;0;68;1;5;False
2023-01-29;2;0;86;0;4;False
2023-01-30;2;0;86;0;7;False
2023-01-31;6;0;79;0;6;False
