date;Cycling holidays;Top 10s;air travel;Press releases;Press releases 2022;isPartial
2022-01-01;10;0;33;0;6;False
2022-01-02;0;8;63;0;0;False
2022-01-03;11;0;54;20;0;False
2022-01-04;10;0;76;0;0;False
2022-01-05;0;0;98;10;0;False
2022-01-06;0;0;73;0;0;False
2022-01-07;0;0;82;16;9;False
2022-01-08;7;0;72;0;0;False
2022-01-09;0;0;52;0;0;False
2022-01-10;18;10;84;10;0;False
2022-01-11;6;0;75;0;0;False
2022-01-12;9;9;78;23;0;False
2022-01-13;16;0;100;13;0;False
2022-01-14;0;0;89;19;0;False
2022-01-15;11;0;69;0;0;False
2022-01-16;6;0;82;7;0;False
2022-01-17;11;0;57;0;0;False
2022-01-18;10;0;60;14;10;False
2022-01-19;7;0;81;17;8;False
2022-01-20;5;6;57;10;17;False
2022-01-21;9;0;45;10;0;False
2022-01-22;9;0;56;0;0;False
2022-01-23;14;0;79;0;9;False
2022-01-24;5;0;94;31;5;False
2022-01-25;5;0;51;11;4;False
2022-01-26;0;0;79;0;0;False
2022-01-27;0;9;72;12;6;False
2022-01-28;5;11;59;15;0;False
2022-01-29;8;0;62;15;0;False
2022-01-30;24;0;70;0;0;False
2022-01-31;10;0;93;0;0;False
