date;Joe Rogan;Spotify;UK weather;Schools;air travel;isPartial
2022-01-01;7;51;50;57;2;False
2022-01-02;8;62;68;90;3;False
2022-01-03;11;56;58;92;3;False
2022-01-04;11;62;66;100;2;False
2022-01-05;9;55;65;79;4;False
2022-01-06;8;57;73;67;3;False
2022-01-07;6;62;68;61;3;False
2022-01-08;6;60;60;43;3;False
2022-01-09;6;61;46;51;2;False
2022-01-10;6;64;43;74;5;False
2022-01-11;5;58;37;71;3;False
2022-01-12;5;57;39;67;3;False
2022-01-13;5;59;38;66;4;False
2022-01-14;8;58;37;53;4;False
2022-01-15;8;57;45;46;4;False
2022-01-16;9;59;53;51;4;False
2022-01-17;7;60;42;60;2;False
2022-01-18;5;58;43;60;3;False
2022-01-19;4;50;37;61;4;False
2022-01-20;3;50;35;59;2;False
2022-01-21;5;69;37;56;2;False
2022-01-22;5;71;38;46;3;False
2022-01-23;7;62;47;50;3;False
2022-01-24;5;70;41;68;4;False
2022-01-25;14;68;37;59;2;False
2022-01-26;12;66;36;65;3;False
2022-01-27;36;74;36;62;3;False
2022-01-28;19;74;46;56;2;False
2022-01-29;66;96;59;41;3;False
2022-01-30;58;90;60;45;4;False
2022-01-31;47;84;45;62;4;False
