date;Jeremy Piven;Crime films;Andy Warhol;Punk;air travel;isPartial
2022-01-01;2;3;5;41;8;False
2022-01-02;0;4;7;38;16;False
2022-01-03;1;0;6;34;13;False
2022-01-04;0;3;4;39;12;False
2022-01-05;3;2;9;34;20;False
2022-01-06;2;3;100;34;16;False
2022-01-07;0;3;29;47;15;False
2022-01-08;0;5;13;43;15;False
2022-01-09;0;0;15;44;9;False
2022-01-10;2;2;16;38;24;False
2022-01-11;0;1;10;36;16;False
2022-01-12;0;3;16;39;17;False
2022-01-13;0;0;60;35;19;False
2022-01-14;0;0;20;25;19;False
2022-01-15;0;1;13;50;18;False
2022-01-16;1;4;13;49;20;False
2022-01-17;0;0;11;33;12;False
2022-01-18;2;0;12;39;16;False
2022-01-19;0;1;9;35;18;False
2022-01-20;2;1;63;38;11;False
2022-01-21;0;2;18;48;9;False
2022-01-22;3;0;8;51;13;False
2022-01-23;2;2;12;48;16;False
2022-01-24;0;0;10;45;20;False
2022-01-25;0;4;7;40;12;False
2022-01-26;0;0;10;42;16;False
2022-01-27;1;2;12;42;13;False
2022-01-28;0;1;11;42;11;False
2022-01-29;0;0;9;44;14;False
2022-01-30;0;0;12;42;18;False
2022-01-31;0;2;11;42;21;False
