date;Biden administration;Libraries;Online shopping;Islamic State;air travel;isPartial
2022-01-01;0;7;69;1;7;False
2022-01-02;0;23;99;0;13;False
2022-01-03;0;21;100;0;11;False
2022-01-04;0;29;97;0;12;False
2022-01-05;0;28;88;0;13;False
2022-01-06;0;20;98;0;11;False
2022-01-07;0;24;96;0;11;False
2022-01-08;0;18;84;0;13;False
2022-01-09;1;19;85;2;12;False
2022-01-10;0;27;79;0;18;False
2022-01-11;0;25;84;1;13;False
2022-01-12;0;27;84;0;15;False
2022-01-13;0;26;86;1;17;False
2022-01-14;0;17;81;0;17;False
2022-01-15;0;21;73;1;16;False
2022-01-16;0;15;75;0;15;False
2022-01-17;0;19;77;0;11;False
2022-01-18;0;26;75;0;13;False
2022-01-19;0;20;77;1;17;False
2022-01-20;0;23;77;1;10;False
2022-01-21;0;25;81;0;8;False
2022-01-22;0;18;80;1;10;False
2022-01-23;0;19;72;1;14;False
2022-01-24;1;26;87;0;17;False
2022-01-25;0;23;74;0;9;False
2022-01-26;1;23;79;1;11;False
2022-01-27;1;23;78;0;12;False
2022-01-28;0;26;84;0;10;False
2022-01-29;0;21;79;0;13;False
2022-01-30;0;16;77;2;13;False
2022-01-31;0;25;83;2;16;False
