date;Beauty;Makeup;Transgender;US economy;air travel;isPartial
2022-01-01;85;44;6;1;1;False
2022-01-02;89;47;7;1;3;False
2022-01-03;88;44;6;0;3;False
2022-01-04;95;40;6;1;4;False
2022-01-05;90;37;5;0;3;False
2022-01-06;85;36;5;0;3;False
2022-01-07;88;37;6;0;3;False
2022-01-08;85;44;6;0;3;False
2022-01-09;82;45;8;0;3;False
2022-01-10;88;38;7;0;4;False
2022-01-11;91;42;7;0;3;False
2022-01-12;84;37;5;0;3;False
2022-01-13;94;38;7;1;4;False
2022-01-14;86;39;6;1;4;False
2022-01-15;98;48;5;0;3;False
2022-01-16;89;49;4;0;4;False
2022-01-17;83;34;5;0;2;False
2022-01-18;78;33;5;0;3;False
2022-01-19;81;34;5;0;3;False
2022-01-20;81;33;6;0;2;False
2022-01-21;85;37;7;0;2;False
2022-01-22;94;48;7;0;3;False
2022-01-23;85;43;8;0;3;False
2022-01-24;90;42;6;0;4;False
2022-01-25;84;36;6;1;2;False
2022-01-26;89;34;5;0;3;False
2022-01-27;86;33;5;0;3;False
2022-01-28;87;38;6;0;2;False
2022-01-29;100;52;5;1;3;False
2022-01-30;92;45;5;0;4;False
2022-01-31;92;40;9;0;4;False
