date;Love Island;The Voice;Strictly Come Dancing;I'm a Celebrity ...;air travel;isPartial
2022-01-01;73;64;33;0;5;False
2022-01-02;62;64;25;0;9;False
2022-01-03;63;51;18;0;9;False
2022-01-04;56;44;19;0;12;False
2022-01-05;47;41;23;0;12;False
2022-01-06;44;36;16;0;10;False
2022-01-07;63;44;23;0;12;False
2022-01-08;100;56;22;0;9;False
2022-01-09;69;51;18;0;9;False
2022-01-10;51;37;15;0;14;False
2022-01-11;53;38;19;0;10;False
2022-01-12;50;43;21;0;11;False
2022-01-13;56;42;16;0;14;False
2022-01-14;52;41;27;0;12;False
2022-01-15;56;63;33;0;10;False
2022-01-16;60;58;33;0;12;False
2022-01-17;41;38;28;0;7;False
2022-01-18;40;35;19;0;10;False
2022-01-19;50;33;20;0;10;False
2022-01-20;42;38;25;0;7;False
2022-01-21;45;41;31;0;6;False
2022-01-22;80;67;41;0;10;False
2022-01-23;77;52;47;0;11;False
2022-01-24;48;38;29;0;14;False
2022-01-25;37;37;30;0;8;False
2022-01-26;43;35;22;0;11;False
2022-01-27;47;36;26;0;9;False
2022-01-28;41;42;28;0;8;False
2022-01-29;71;62;29;0;8;False
2022-01-30;50;57;49;0;13;False
2022-01-31;32;36;23;0;13;False
