date;Guy Hands;Military;Ministry of Defence;easyJet;air travel;isPartial
2022-01-01;0;36;0;50;2;False
2022-01-02;0;34;0;58;4;False
2022-01-03;0;30;0;68;3;False
2022-01-04;0;29;1;76;3;False
2022-01-05;0;27;1;76;4;False
2022-01-06;0;25;1;80;4;False
2022-01-07;0;28;1;71;4;False
2022-01-08;0;30;0;72;4;False
2022-01-09;0;34;1;82;3;False
2022-01-10;0;32;1;95;6;False
2022-01-11;0;29;1;82;5;False
2022-01-12;0;30;1;78;4;False
2022-01-13;0;36;2;87;6;False
2022-01-14;0;30;0;63;5;False
2022-01-15;0;40;1;76;4;False
2022-01-16;1;39;1;95;4;False
2022-01-17;0;30;1;88;4;False
2022-01-18;0;28;1;87;3;False
2022-01-19;0;28;1;70;4;False
2022-01-20;0;33;1;73;3;False
2022-01-21;1;32;1;71;2;False
2022-01-22;0;39;0;69;3;False
2022-01-23;0;35;1;79;4;False
2022-01-24;0;42;2;100;6;False
2022-01-25;1;36;2;82;3;False
2022-01-26;1;34;1;81;4;False
2022-01-27;1;33;0;78;4;False
2022-01-28;1;32;1;74;3;False
2022-01-29;1;35;1;80;4;False
2022-01-30;1;36;0;86;4;False
2022-01-31;0;33;1;90;5;False
