date;Sarah Everard;Kobe Bryant;NBA;Pensions industry;air travel;isPartial
2022-01-01;1;3;81;0;3;False
2022-01-02;1;3;90;0;5;False
2022-01-03;1;3;75;0;4;False
2022-01-04;2;2;69;0;4;False
2022-01-05;1;3;68;0;6;False
2022-01-06;1;4;69;0;5;False
2022-01-07;1;4;62;0;5;False
2022-01-08;0;6;92;0;5;False
2022-01-09;1;4;100;0;4;False
2022-01-10;2;1;98;0;7;False
2022-01-11;1;2;65;0;6;False
2022-01-12;2;4;68;0;5;False
2022-01-13;1;4;67;0;8;False
2022-01-14;2;2;67;0;6;False
2022-01-15;2;1;83;0;5;False
2022-01-16;2;1;91;0;6;False
2022-01-17;1;2;83;0;5;False
2022-01-18;2;3;64;0;5;False
2022-01-19;1;3;61;0;6;False
2022-01-20;1;2;70;0;4;False
2022-01-21;1;3;61;0;3;False
2022-01-22;1;3;81;0;4;False
2022-01-23;1;4;77;0;5;False
2022-01-24;1;2;74;0;7;False
2022-01-25;2;2;54;0;4;False
2022-01-26;1;15;72;0;5;False
2022-01-27;1;12;63;0;6;False
2022-01-28;1;7;70;0;4;False
2022-01-29;2;4;78;0;5;False
2022-01-30;1;2;91;0;5;False
2022-01-31;1;3;63;0;6;False
