date;Mountaineering;Sons of Kemet;Human trafficking;Modern slavery;air travel;isPartial
2022-01-01;20;0;21;19;34;False
2022-01-02;13;0;12;7;63;False
2022-01-03;9;4;6;0;51;False
2022-01-04;31;7;16;28;54;False
2022-01-05;18;0;15;43;77;False
2022-01-06;36;7;17;33;61;False
2022-01-07;33;0;26;27;63;False
2022-01-08;31;0;13;9;71;False
2022-01-09;24;0;19;17;55;False
2022-01-10;25;0;34;35;97;False
2022-01-11;12;14;8;20;79;False
2022-01-12;22;0;22;26;67;False
2022-01-13;31;14;19;43;100;False
2022-01-14;17;0;10;26;84;False
2022-01-15;21;26;7;0;66;False
2022-01-16;37;0;21;9;72;False
2022-01-17;23;0;23;26;65;False
2022-01-18;20;0;0;52;59;False
2022-01-19;5;5;21;49;74;False
2022-01-20;28;0;5;27;54;False
2022-01-21;18;0;6;30;38;False
2022-01-22;13;0;9;7;53;False
2022-01-23;16;0;6;12;69;False
2022-01-24;38;0;22;34;97;False
2022-01-25;22;9;10;27;49;False
2022-01-26;23;0;26;40;64;False
2022-01-27;30;0;9;28;71;False
2022-01-28;26;0;36;20;49;False
2022-01-29;24;0;11;28;60;False
2022-01-30;12;0;28;14;71;False
2022-01-31;14;4;10;34;82;False
