date;Morrissey;Johnny Marr;The Smiths;PFAS;air travel;isPartial
2022-01-01;16;3;18;6;15;False
2022-01-02;16;6;23;3;27;False
2022-01-03;12;0;19;0;22;False
2022-01-04;11;3;14;2;23;False
2022-01-05;32;0;20;0;33;False
2022-01-06;19;0;18;4;26;False
2022-01-07;17;7;15;0;27;False
2022-01-08;15;0;19;0;31;False
2022-01-09;18;4;16;0;24;False
2022-01-10;10;4;25;0;42;False
2022-01-11;15;9;21;7;34;False
2022-01-12;41;4;17;0;29;False
2022-01-13;18;10;18;0;43;False
2022-01-14;25;6;20;3;36;False
2022-01-15;21;8;24;0;29;False
2022-01-16;20;6;23;4;31;False
2022-01-17;13;7;16;0;28;False
2022-01-18;100;0;15;0;25;False
2022-01-19;52;0;13;5;32;False
2022-01-20;21;0;13;0;23;False
2022-01-21;15;2;18;0;16;False
2022-01-22;26;3;23;0;23;False
2022-01-23;70;2;18;0;30;False
2022-01-24;19;0;21;0;42;False
2022-01-25;23;3;9;2;21;False
2022-01-26;63;38;22;3;28;False
2022-01-27;41;14;17;4;31;False
2022-01-28;26;7;21;0;21;False
2022-01-29;38;5;24;0;26;False
2022-01-30;27;0;21;0;31;False
2022-01-31;28;4;17;6;36;False
