date;International Monetary Fund (IMF);Pakistan;Rice;Chefs;air travel;isPartial
2022-01-01;0;29;75;5;1;False
2022-01-02;0;29;82;5;2;False
2022-01-03;0;27;81;4;2;False
2022-01-04;0;27;77;5;2;False
2022-01-05;0;34;73;4;3;False
2022-01-06;0;28;67;3;2;False
2022-01-07;0;28;66;4;2;False
2022-01-08;0;39;76;6;3;False
2022-01-09;0;37;77;5;2;False
2022-01-10;0;32;77;4;4;False
2022-01-11;0;28;70;4;3;False
2022-01-12;0;28;67;4;3;False
2022-01-13;0;32;73;4;4;False
2022-01-14;0;28;63;3;3;False
2022-01-15;0;34;83;6;3;False
2022-01-16;0;32;100;5;3;False
2022-01-17;0;30;94;3;3;False
2022-01-18;0;28;77;4;2;False
2022-01-19;0;25;62;3;3;False
2022-01-20;0;28;61;4;2;False
2022-01-21;0;27;60;3;1;False
2022-01-22;0;29;74;4;2;False
2022-01-23;0;28;72;4;3;False
2022-01-24;0;35;76;5;4;False
2022-01-25;0;30;61;3;2;False
2022-01-26;0;31;66;3;2;False
2022-01-27;0;29;64;3;3;False
2022-01-28;0;30;63;5;2;False
2022-01-29;0;28;73;4;2;False
2022-01-30;0;28;72;4;3;False
2022-01-31;1;30;70;4;3;False
