date;Napoli;English National Ballet;Tamara Rojo;United Arab Emirates;air travel;isPartial
2022-01-01;28;0;0;1;8;False
2022-01-02;24;1;0;1;14;False
2022-01-03;18;0;0;4;12;False
2022-01-04;14;0;0;2;12;False
2022-01-05;22;0;0;1;17;False
2022-01-06;91;0;5;2;14;False
2022-01-07;36;0;2;3;14;False
2022-01-08;27;5;0;2;16;False
2022-01-09;58;2;0;4;12;False
2022-01-10;23;3;1;5;22;False
2022-01-11;18;0;6;2;18;False
2022-01-12;25;2;4;2;15;False
2022-01-13;100;2;3;0;23;False
2022-01-14;30;1;2;4;19;False
2022-01-15;20;0;0;2;15;False
2022-01-16;26;4;0;4;16;False
2022-01-17;54;0;0;8;15;False
2022-01-18;15;2;2;5;13;False
2022-01-19;17;3;2;1;17;False
2022-01-20;19;1;2;6;12;False
2022-01-21;16;4;0;3;9;False
2022-01-22;31;0;0;4;12;False
2022-01-23;42;0;1;2;16;False
2022-01-24;23;5;0;4;22;False
2022-01-25;12;0;1;3;11;False
2022-01-26;21;0;0;5;14;False
2022-01-27;15;0;0;5;16;False
2022-01-28;19;0;0;2;11;False
2022-01-29;24;0;0;5;14;False
2022-01-30;23;0;0;1;16;False
2022-01-31;16;2;0;3;19;False
