date;Charitable giving;Healthcare industry;Fuel poverty;Arron Banks;air travel;isPartial
2022-01-01;0;12;0;0;34;False
2022-01-02;0;9;0;13;63;False
2022-01-03;0;0;0;6;51;False
2022-01-04;0;0;10;0;54;False
2022-01-05;0;8;9;0;77;False
2022-01-06;0;0;8;0;61;False
2022-01-07;9;0;10;0;63;False
2022-01-08;0;0;0;0;71;False
2022-01-09;0;0;0;0;55;False
2022-01-10;0;18;11;11;97;False
2022-01-11;10;0;10;5;79;False
2022-01-12;0;0;14;0;67;False
2022-01-13;0;6;0;0;100;False
2022-01-14;0;0;8;0;84;False
2022-01-15;0;0;0;0;66;False
2022-01-16;8;5;0;9;72;False
2022-01-17;0;6;10;10;65;False
2022-01-18;7;0;14;0;59;False
2022-01-19;10;0;8;4;74;False
2022-01-20;0;0;0;5;54;False
2022-01-21;6;4;14;13;38;False
2022-01-22;0;0;10;15;53;False
2022-01-23;0;0;9;17;69;False
2022-01-24;0;0;20;0;97;False
2022-01-25;0;0;0;4;49;False
2022-01-26;0;0;13;0;64;False
2022-01-27;0;0;6;0;71;False
2022-01-28;0;5;0;0;49;False
2022-01-29;0;0;0;5;60;False
2022-01-30;0;0;0;19;71;False
2022-01-31;9;0;9;0;82;False
