date;Charles Dickens;Men's hair;Credit Suisse;European banks;air travel;isPartial
2022-01-01;17;32;4;0;14;False
2022-01-02;22;29;4;0;26;False
2022-01-03;17;24;3;0;21;False
2022-01-04;22;23;17;2;22;False
2022-01-05;25;27;10;0;32;False
2022-01-06;19;42;7;0;25;False
2022-01-07;18;25;10;3;26;False
2022-01-08;19;27;4;0;29;False
2022-01-09;25;34;3;3;23;False
2022-01-10;17;23;14;2;40;False
2022-01-11;21;25;15;2;33;False
2022-01-12;18;22;9;2;28;False
2022-01-13;21;38;14;0;41;False
2022-01-14;18;36;9;0;35;False
2022-01-15;15;27;16;0;27;False
2022-01-16;23;33;0;0;30;False
2022-01-17;18;34;100;6;27;False
2022-01-18;16;24;20;0;24;False
2022-01-19;21;27;12;0;31;False
2022-01-20;22;28;13;0;22;False
2022-01-21;15;33;13;0;16;False
2022-01-22;16;29;7;2;22;False
2022-01-23;13;36;7;0;28;False
2022-01-24;15;21;15;0;40;False
2022-01-25;20;22;16;2;20;False
2022-01-26;16;21;10;0;26;False
2022-01-27;18;24;14;0;30;False
2022-01-28;15;32;12;0;20;False
2022-01-29;14;32;12;0;25;False
2022-01-30;10;28;6;0;30;False
2022-01-31;18;34;20;0;34;False
