date;War reporting;Public service broadcasting;EE;O2;air travel;isPartial
2022-01-01;0;0;78;70;2;False
2022-01-02;0;0;85;77;4;False
2022-01-03;0;1;87;71;3;False
2022-01-04;0;0;100;82;3;False
2022-01-05;0;0;97;76;5;False
2022-01-06;0;0;94;77;4;False
2022-01-07;1;0;88;84;4;False
2022-01-08;0;0;85;87;4;False
2022-01-09;0;1;81;75;3;False
2022-01-10;0;0;97;88;6;False
2022-01-11;0;0;91;74;5;False
2022-01-12;0;0;85;72;4;False
2022-01-13;0;0;95;77;6;False
2022-01-14;0;0;82;74;5;False
2022-01-15;0;1;82;75;4;False
2022-01-16;0;1;86;69;4;False
2022-01-17;0;1;86;77;4;False
2022-01-18;0;1;86;75;4;False
2022-01-19;0;0;83;73;5;False
2022-01-20;0;0;84;71;3;False
2022-01-21;0;0;83;75;2;False
2022-01-22;0;0;80;75;3;False
2022-01-23;0;0;76;72;4;False
2022-01-24;0;0;95;92;6;False
2022-01-25;0;0;81;80;3;False
2022-01-26;0;0;87;95;4;False
2022-01-27;0;0;82;76;4;False
2022-01-28;0;1;91;81;3;False
2022-01-29;0;0;86;80;4;False
2022-01-30;0;0;73;66;4;False
2022-01-31;0;0;84;80;5;False
