date;Lord Howe Island;Norfolk Island;Judy Murray;Jimmy Savile;air travel;isPartial
2022-01-01;0;0;6;24;18;False
2022-01-02;0;0;4;28;33;False
2022-01-03;0;10;0;18;27;False
2022-01-04;0;0;13;19;28;False
2022-01-05;0;3;3;13;41;False
2022-01-06;0;0;3;21;32;False
2022-01-07;0;0;13;33;33;False
2022-01-08;0;0;0;18;38;False
2022-01-09;6;4;3;24;29;False
2022-01-10;0;4;0;10;51;False
2022-01-11;0;0;6;26;42;False
2022-01-12;0;0;7;25;36;False
2022-01-13;0;8;9;30;53;False
2022-01-14;6;0;3;16;44;False
2022-01-15;5;11;11;21;35;False
2022-01-16;0;5;3;38;38;False
2022-01-17;0;6;9;25;34;False
2022-01-18;0;2;11;30;31;False
2022-01-19;0;4;0;21;39;False
2022-01-20;0;9;0;22;28;False
2022-01-21;0;4;14;23;20;False
2022-01-22;0;13;11;25;28;False
2022-01-23;0;3;0;18;36;False
2022-01-24;7;2;8;28;51;False
2022-01-25;0;2;5;26;26;False
2022-01-26;0;0;5;16;34;False
2022-01-27;0;0;0;12;38;False
2022-01-28;0;0;3;15;26;False
2022-01-29;0;4;0;27;32;False
2022-01-30;0;0;9;19;38;False
2022-01-31;0;0;0;100;44;False
