date;Tea;Phil Spector;Illinois;Edith Sitwell;air travel;isPartial
2022-01-01;69;0;1;0;1;False
2022-01-02;78;0;1;0;2;False
2022-01-03;75;0;1;0;2;False
2022-01-04;76;0;1;0;2;False
2022-01-05;68;0;1;0;2;False
2022-01-06;67;0;1;0;2;False
2022-01-07;69;0;2;0;2;False
2022-01-08;82;0;1;0;2;False
2022-01-09;87;0;1;0;2;False
2022-01-10;78;0;1;0;3;False
2022-01-11;70;0;1;0;2;False
2022-01-12;73;1;1;0;2;False
2022-01-13;77;9;2;0;3;False
2022-01-14;69;4;1;0;3;False
2022-01-15;88;2;2;0;2;False
2022-01-16;94;1;2;0;2;False
2022-01-17;79;0;2;0;2;False
2022-01-18;70;0;2;0;2;False
2022-01-19;64;1;1;0;2;False
2022-01-20;70;0;1;0;2;False
2022-01-21;69;0;2;0;1;False
2022-01-22;85;1;1;0;2;False
2022-01-23;100;0;1;0;2;False
2022-01-24;85;0;1;0;3;False
2022-01-25;70;0;1;0;2;False
2022-01-26;68;0;1;0;2;False
2022-01-27;68;0;1;0;2;False
2022-01-28;72;1;1;0;2;False
2022-01-29;84;0;1;0;2;False
2022-01-30;80;0;1;0;2;False
2022-01-31;71;0;1;0;3;False
