date;Ant and Dec;Game shows;Adult literacy;Ghana;air travel;isPartial
2022-01-01;7;2;0;29;4;False
2022-01-02;7;2;1;32;8;False
2022-01-03;4;3;0;37;6;False
2022-01-04;3;2;1;34;7;False
2022-01-05;3;2;0;49;9;False
2022-01-06;5;3;1;34;7;False
2022-01-07;11;2;1;34;8;False
2022-01-08;67;7;0;33;9;False
2022-01-09;23;3;0;40;7;False
2022-01-10;11;2;0;85;12;False
2022-01-11;5;4;0;44;10;False
2022-01-12;6;1;0;38;8;False
2022-01-13;7;3;1;37;12;False
2022-01-14;17;1;1;80;10;False
2022-01-15;40;6;0;51;8;False
2022-01-16;16;3;1;43;9;False
2022-01-17;7;3;0;47;8;False
2022-01-18;5;4;1;100;7;False
2022-01-19;5;3;0;44;9;False
2022-01-20;5;1;0;46;7;False
2022-01-21;4;3;0;36;5;False
2022-01-22;21;4;0;44;7;False
2022-01-23;10;3;2;41;8;False
2022-01-24;4;3;3;42;12;False
2022-01-25;4;3;1;31;6;False
2022-01-26;5;2;2;27;8;False
2022-01-27;5;2;0;30;9;False
2022-01-28;4;2;1;32;6;False
2022-01-29;17;3;0;34;7;False
2022-01-30;8;4;0;32;9;False
2022-01-31;4;1;0;29;10;False
