date;Lupita Nyong'o;Diane Kruger;BlackBerry;BlackBerry corporation;air travel;isPartial
2022-01-01;1;2;19;0;5;False
2022-01-02;0;2;19;0;10;False
2022-01-03;1;1;77;0;8;False
2022-01-04;0;1;100;0;8;False
2022-01-05;0;2;38;0;12;False
2022-01-06;0;0;23;0;9;False
2022-01-07;0;1;23;0;10;False
2022-01-08;0;2;22;0;11;False
2022-01-09;1;0;20;0;9;False
2022-01-10;0;0;17;0;15;False
2022-01-11;1;0;16;0;12;False
2022-01-12;0;1;12;0;10;False
2022-01-13;0;1;15;0;15;False
2022-01-14;1;0;12;0;13;False
2022-01-15;0;0;18;0;10;False
2022-01-16;0;1;15;0;11;False
2022-01-17;0;2;13;0;10;False
2022-01-18;0;1;13;0;9;False
2022-01-19;0;2;9;0;12;False
2022-01-20;0;1;11;0;8;False
2022-01-21;0;1;10;0;6;False
2022-01-22;0;0;16;0;8;False
2022-01-23;0;0;14;0;11;False
2022-01-24;0;0;13;0;15;False
2022-01-25;0;0;13;0;8;False
2022-01-26;0;0;10;0;10;False
2022-01-27;0;1;13;0;11;False
2022-01-28;0;0;16;0;8;False
2022-01-29;3;1;18;0;9;False
2022-01-30;0;1;17;0;11;False
2022-01-31;1;2;11;0;13;False
