date;ABC;Investigative journalism;Panama Papers;GMG;air travel;isPartial
2022-01-01;62;0;2;0;11;False
2022-01-02;63;0;0;0;20;False
2022-01-03;62;0;0;2;17;False
2022-01-04;84;0;0;2;17;False
2022-01-05;88;0;0;0;25;False
2022-01-06;76;0;0;1;20;False
2022-01-07;71;0;1;2;21;False
2022-01-08;72;0;0;4;23;False
2022-01-09;70;0;0;0;18;False
2022-01-10;93;0;0;0;31;False
2022-01-11;74;0;0;2;26;False
2022-01-12;74;0;2;6;22;False
2022-01-13;92;0;0;5;32;False
2022-01-14;75;3;0;0;27;False
2022-01-15;90;0;0;0;21;False
2022-01-16;87;0;7;0;23;False
2022-01-17;77;2;0;4;21;False
2022-01-18;77;0;0;0;19;False
2022-01-19;65;0;0;0;24;False
2022-01-20;79;0;0;3;18;False
2022-01-21;85;3;0;0;12;False
2022-01-22;70;0;0;0;17;False
2022-01-23;70;0;2;2;22;False
2022-01-24;100;0;0;0;32;False
2022-01-25;67;1;7;0;16;False
2022-01-26;85;0;4;0;21;False
2022-01-27;66;0;0;0;23;False
2022-01-28;73;0;0;0;16;False
2022-01-29;83;0;0;2;19;False
2022-01-30;68;0;0;0;23;False
2022-01-31;81;0;0;5;27;False
