date;Ashley Giles;BMW;New Hampshire;Google Street View;air travel;isPartial
2022-01-01;0;72;3;4;1;False
2022-01-02;0;81;2;5;2;False
2022-01-03;0;79;2;5;2;False
2022-01-04;0;85;2;7;2;False
2022-01-05;1;86;2;7;3;False
2022-01-06;1;87;2;7;2;False
2022-01-07;0;84;1;6;2;False
2022-01-08;0;90;1;7;3;False
2022-01-09;0;87;1;6;2;False
2022-01-10;0;91;2;8;4;False
2022-01-11;0;81;1;7;3;False
2022-01-12;0;83;1;6;3;False
2022-01-13;0;96;1;7;4;False
2022-01-14;0;86;1;6;3;False
2022-01-15;0;100;1;7;3;False
2022-01-16;0;96;1;6;3;False
2022-01-17;0;89;1;7;3;False
2022-01-18;0;80;1;7;2;False
2022-01-19;0;77;1;7;3;False
2022-01-20;0;77;0;7;2;False
2022-01-21;0;83;0;7;1;False
2022-01-22;0;93;1;7;2;False
2022-01-23;0;86;1;5;3;False
2022-01-24;0;96;2;9;4;False
2022-01-25;0;83;1;7;2;False
2022-01-26;0;86;1;6;2;False
2022-01-27;1;83;1;6;3;False
2022-01-28;0;87;1;7;2;False
2022-01-29;0;98;1;6;2;False
2022-01-30;0;85;1;6;3;False
2022-01-31;0;85;2;6;3;False
