date;Dr Strangelove;Independence Day: Resurgence;Hurricanes;Hurricane Katrina;air travel;isPartial
2022-01-01;0;0;6;4;17;False
2022-01-02;4;0;10;3;31;False
2022-01-03;6;0;0;0;25;False
2022-01-04;0;0;8;7;26;False
2022-01-05;0;0;11;4;38;False
2022-01-06;2;0;3;8;30;False
2022-01-07;7;5;12;0;31;False
2022-01-08;4;100;11;10;35;False
2022-01-09;8;0;9;10;27;False
2022-01-10;5;2;6;5;48;False
2022-01-11;3;0;13;6;39;False
2022-01-12;3;2;7;3;33;False
2022-01-13;5;7;10;4;49;False
2022-01-14;0;5;5;3;41;False
2022-01-15;0;7;9;4;33;False
2022-01-16;0;0;21;4;35;False
2022-01-17;3;0;7;7;32;False
2022-01-18;2;3;16;9;29;False
2022-01-19;0;0;10;5;37;False
2022-01-20;0;0;9;4;27;False
2022-01-21;0;0;5;4;19;False
2022-01-22;3;6;10;0;26;False
2022-01-23;0;0;6;10;34;False
2022-01-24;0;0;16;11;48;False
2022-01-25;6;0;9;4;24;False
2022-01-26;0;0;8;6;31;False
2022-01-27;0;0;16;5;35;False
2022-01-28;0;0;10;0;24;False
2022-01-29;6;3;9;12;30;False
2022-01-30;0;0;16;16;35;False
2022-01-31;0;2;10;6;41;False
