date;Agriculture and forestry;E coli;Paul Bettany;David Tennant;air travel;isPartial
2022-01-01;0;7;26;43;14;False
2022-01-02;0;6;14;88;25;False
2022-01-03;3;9;17;52;21;False
2022-01-04;0;14;9;37;22;False
2022-01-05;0;11;11;42;31;False
2022-01-06;0;12;9;26;25;False
2022-01-07;0;12;12;35;25;False
2022-01-08;0;10;13;40;29;False
2022-01-09;5;7;11;45;22;False
2022-01-10;0;15;11;25;39;False
2022-01-11;2;10;5;26;32;False
2022-01-12;2;14;7;24;27;False
2022-01-13;8;16;6;22;40;False
2022-01-14;0;18;4;24;34;False
2022-01-15;0;8;13;38;27;False
2022-01-16;0;9;7;51;29;False
2022-01-17;0;14;7;17;26;False
2022-01-18;0;16;0;21;24;False
2022-01-19;0;13;0;20;30;False
2022-01-20;0;10;0;23;22;False
2022-01-21;0;7;4;28;15;False
2022-01-22;0;9;9;100;21;False
2022-01-23;0;10;6;75;28;False
2022-01-24;2;7;9;49;39;False
2022-01-25;0;15;3;33;20;False
2022-01-26;2;11;5;32;26;False
2022-01-27;0;13;6;31;29;False
2022-01-28;0;15;5;37;20;False
2022-01-29;2;7;5;35;24;False
2022-01-30;0;7;0;33;29;False
2022-01-31;2;10;5;29;33;False
