date;manchester bombing;domestic abuse;stella creasy;child abuse inquiry;air travel;isPartial
2022-01-01;0;37;0;0;21;False
2022-01-02;8;36;0;3;39;False
2022-01-03;10;48;0;0;32;False
2022-01-04;6;54;5;0;33;False
2022-01-05;7;67;4;0;48;False
2022-01-06;5;59;13;0;38;False
2022-01-07;8;65;4;11;39;False
2022-01-08;8;36;0;0;44;False
2022-01-09;17;52;0;0;34;False
2022-01-10;8;79;0;5;60;False
2022-01-11;5;65;0;0;49;False
2022-01-12;6;73;4;0;42;False
2022-01-13;0;64;0;0;62;False
2022-01-14;5;52;0;9;52;False
2022-01-15;11;29;0;0;41;False
2022-01-16;6;53;5;0;45;False
2022-01-17;0;69;0;0;40;False
2022-01-18;0;68;0;0;37;False
2022-01-19;4;46;0;0;46;False
2022-01-20;0;62;0;0;33;False
2022-01-21;6;54;0;0;24;False
2022-01-22;0;32;0;6;33;False
2022-01-23;0;33;5;0;43;False
2022-01-24;3;88;0;3;60;False
2022-01-25;11;77;3;0;31;False
2022-01-26;7;52;0;0;40;False
2022-01-27;7;50;0;0;44;False
2022-01-28;5;63;0;0;31;False
2022-01-29;4;31;0;0;37;False
2022-01-30;0;100;0;0;44;False
2022-01-31;0;66;6;0;51;False
