date;cape town;south korea;denmark;paris climate agreement;air travel;isPartial
2022-01-01;43;29;51;0;10;False
2022-01-02;54;30;91;0;18;False
2022-01-03;48;26;74;0;15;False
2022-01-04;37;34;67;0;16;False
2022-01-05;39;29;71;0;22;False
2022-01-06;36;26;64;0;18;False
2022-01-07;44;25;59;0;18;False
2022-01-08;42;33;54;0;21;False
2022-01-09;42;25;55;4;16;False
2022-01-10;42;31;75;0;28;False
2022-01-11;43;25;70;3;23;False
2022-01-12;46;26;52;0;20;False
2022-01-13;51;22;72;0;29;False
2022-01-14;31;17;67;1;24;False
2022-01-15;50;30;73;1;19;False
2022-01-16;37;25;62;2;21;False
2022-01-17;40;22;82;0;19;False
2022-01-18;28;22;64;0;17;False
2022-01-19;33;19;60;0;22;False
2022-01-20;41;20;58;0;16;False
2022-01-21;41;26;80;0;11;False
2022-01-22;48;21;78;0;15;False
2022-01-23;57;25;73;0;20;False
2022-01-24;52;28;94;2;28;False
2022-01-25;45;25;67;2;14;False
2022-01-26;48;25;100;0;19;False
2022-01-27;30;37;78;0;21;False
2022-01-28;38;21;80;0;14;False
2022-01-29;42;26;62;0;17;False
2022-01-30;43;21;65;0;21;False
2022-01-31;40;35;75;0;24;False
