date;nature;george eustice;anti-vaccination movement;madagascar;air travel;isPartial
2022-01-01;80;1;0;19;5;False
2022-01-02;97;0;0;41;10;False
2022-01-03;90;1;0;16;8;False
2022-01-04;91;0;0;11;8;False
2022-01-05;86;0;0;11;12;False
2022-01-06;74;1;0;14;10;False
2022-01-07;79;0;0;13;10;False
2022-01-08;74;0;0;17;11;False
2022-01-09;96;0;0;23;9;False
2022-01-10;95;0;0;18;15;False
2022-01-11;83;0;0;13;12;False
2022-01-12;86;1;0;11;10;False
2022-01-13;95;0;0;17;16;False
2022-01-14;86;0;0;12;13;False
2022-01-15;87;0;0;19;10;False
2022-01-16;100;0;0;12;11;False
2022-01-17;99;0;0;13;10;False
2022-01-18;84;1;0;11;9;False
2022-01-19;73;2;0;14;12;False
2022-01-20;73;0;0;15;8;False
2022-01-21;88;0;0;13;6;False
2022-01-22;92;0;0;13;8;False
2022-01-23;93;0;0;28;11;False
2022-01-24;96;1;0;13;15;False
2022-01-25;84;1;0;14;8;False
2022-01-26;81;0;0;16;10;False
2022-01-27;79;0;0;14;11;False
2022-01-28;87;1;0;15;8;False
2022-01-29;84;0;0;15;9;False
2022-01-30;97;0;0;14;11;False
2022-01-31;85;2;0;10;13;False
