date;Premiership;Sale;Leicester;US national security;air travel;isPartial
2022-01-01;3;96;8;0;0;False
2022-01-02;3;91;8;0;0;False
2022-01-03;1;93;7;0;0;False
2022-01-04;1;82;8;0;0;False
2022-01-05;0;78;8;0;0;False
2022-01-06;0;78;7;0;0;False
2022-01-07;1;78;8;0;0;False
2022-01-08;1;93;11;0;0;False
2022-01-09;1;97;9;0;0;False
2022-01-10;1;80;8;0;0;False
2022-01-11;1;70;8;0;0;False
2022-01-12;1;81;8;0;0;False
2022-01-13;1;80;8;0;0;False
2022-01-14;1;74;8;0;0;False
2022-01-15;3;95;9;0;0;False
2022-01-16;2;100;8;0;0;False
2022-01-17;1;79;8;0;0;False
2022-01-18;1;70;7;0;0;False
2022-01-19;1;71;15;0;0;False
2022-01-20;1;75;9;0;0;False
2022-01-21;1;73;8;0;0;False
2022-01-22;3;85;9;0;0;False
2022-01-23;2;92;11;0;0;False
2022-01-24;1;81;9;0;0;False
2022-01-25;1;73;7;0;0;False
2022-01-26;1;75;8;0;0;False
2022-01-27;1;72;7;0;0;False
2022-01-28;1;76;8;0;0;False
2022-01-29;3;92;9;0;0;False
2022-01-30;2;79;8;0;0;False
2022-01-31;1;77;8;0;0;False
