date;Lobbying;GCHQ;Cyberwar;Insurance industry;air travel;isPartial
2022-01-01;7;29;0;0;34;False
2022-01-02;15;8;0;0;63;False
2022-01-03;16;14;8;7;51;False
2022-01-04;0;15;0;6;54;False
2022-01-05;9;11;0;5;77;False
2022-01-06;6;26;0;10;61;False
2022-01-07;15;22;0;9;63;False
2022-01-08;13;10;5;0;71;False
2022-01-09;13;22;0;5;55;False
2022-01-10;13;26;0;9;97;False
2022-01-11;0;23;0;0;79;False
2022-01-12;0;21;0;0;67;False
2022-01-13;0;41;0;14;100;False
2022-01-14;0;17;0;0;84;False
2022-01-15;0;20;0;10;66;False
2022-01-16;0;23;0;0;72;False
2022-01-17;23;35;0;0;65;False
2022-01-18;23;31;0;0;59;False
2022-01-19;6;12;0;6;74;False
2022-01-20;0;29;0;0;54;False
2022-01-21;6;18;8;13;38;False
2022-01-22;0;7;6;0;53;False
2022-01-23;7;18;0;10;69;False
2022-01-24;18;35;0;8;97;False
2022-01-25;7;25;0;4;49;False
2022-01-26;18;18;16;0;64;False
2022-01-27;10;33;0;13;71;False
2022-01-28;16;28;0;0;49;False
2022-01-29;5;25;6;0;60;False
2022-01-30;17;27;12;5;71;False
2022-01-31;16;18;0;8;82;False
