date;Uganda;Anglia Ruskin University;National parks;US immigration;air travel;isPartial
2022-01-01;47;6;20;3;17;False
2022-01-02;52;13;17;5;32;False
2022-01-03;41;8;15;0;26;False
2022-01-04;53;20;18;0;27;False
2022-01-05;53;16;16;6;39;False
2022-01-06;39;8;13;5;31;False
2022-01-07;44;12;10;0;32;False
2022-01-08;47;13;15;12;36;False
2022-01-09;45;0;16;3;28;False
2022-01-10;60;10;10;6;49;False
2022-01-11;44;12;9;2;40;False
2022-01-12;55;16;7;3;34;False
2022-01-13;65;6;20;4;51;False
2022-01-14;33;10;20;0;43;False
2022-01-15;52;6;12;5;34;False
2022-01-16;49;8;20;3;37;False
2022-01-17;47;18;14;6;33;False
2022-01-18;48;14;21;0;30;False
2022-01-19;51;10;13;4;38;False
2022-01-20;55;14;14;4;27;False
2022-01-21;52;11;6;3;19;False
2022-01-22;61;9;12;5;27;False
2022-01-23;100;3;20;5;35;False
2022-01-24;69;13;14;3;49;False
2022-01-25;55;17;15;0;25;False
2022-01-26;62;10;12;0;32;False
2022-01-27;55;12;4;7;36;False
2022-01-28;45;9;13;0;25;False
2022-01-29;46;4;12;0;30;False
2022-01-30;46;13;16;3;36;False
2022-01-31;65;12;17;0;42;False
