date;Cuba;Haiti;Arsenal Women;Manchester City Women;air travel;isPartial
2022-01-01;53;11;5;0;9;False
2022-01-02;58;12;1;0;17;False
2022-01-03;56;11;0;0;14;False
2022-01-04;46;8;3;2;14;False
2022-01-05;60;8;4;0;20;False
2022-01-06;58;12;0;0;16;False
2022-01-07;52;8;3;0;17;False
2022-01-08;58;10;2;0;19;False
2022-01-09;100;8;24;2;15;False
2022-01-10;64;8;2;0;26;False
2022-01-11;62;11;2;2;21;False
2022-01-12;57;10;4;0;18;False
2022-01-13;64;12;0;0;26;False
2022-01-14;48;8;0;2;22;False
2022-01-15;92;12;5;5;17;False
2022-01-16;80;16;6;0;19;False
2022-01-17;72;8;0;3;17;False
2022-01-18;55;13;5;0;16;False
2022-01-19;56;9;18;1;20;False
2022-01-20;52;10;10;0;14;False
2022-01-21;59;6;4;0;10;False
2022-01-22;76;9;3;0;14;False
2022-01-23;74;7;21;2;18;False
2022-01-24;69;17;8;3;26;False
2022-01-25;58;11;0;0;13;False
2022-01-26;55;11;4;0;17;False
2022-01-27;49;11;18;0;19;False
2022-01-28;60;9;0;0;13;False
2022-01-29;76;9;7;1;16;False
2022-01-30;61;10;12;0;19;False
2022-01-31;52;10;2;1;22;False
