date;tourism;narborough;policing;hm courts service;air travel;isPartial
2022-01-01;43;13;10;0;16;False
2022-01-02;43;16;12;0;31;False
2022-01-03;58;13;14;0;24;False
2022-01-04;75;15;27;0;25;False
2022-01-05;79;9;33;0;35;False
2022-01-06;74;15;43;0;28;False
2022-01-07;56;13;30;0;27;False
2022-01-08;50;11;21;0;33;False
2022-01-09;65;10;23;0;20;False
2022-01-10;85;11;37;0;42;False
2022-01-11;100;10;40;4;30;False
2022-01-12;83;11;36;0;34;False
2022-01-13;71;15;53;0;39;False
2022-01-14;57;20;28;4;34;False
2022-01-15;54;14;15;2;33;False
2022-01-16;68;8;41;0;39;False
2022-01-17;72;12;50;0;24;False
2022-01-18;66;21;46;0;22;False
2022-01-19;71;6;29;6;33;False
2022-01-20;53;9;38;5;22;False
2022-01-21;53;18;24;0;21;False
2022-01-22;51;9;13;0;19;False
2022-01-23;66;8;17;0;33;False
2022-01-24;76;10;24;3;38;False
2022-01-25;69;14;28;5;23;False
2022-01-26;69;14;20;3;30;False
2022-01-27;76;13;28;2;28;False
2022-01-28;72;4;27;4;29;False
2022-01-29;52;8;13;0;23;False
2022-01-30;68;4;19;0;30;False
2022-01-31;68;14;34;0;36;False
