date;ali abdullah saleh;genetics;contact tracing;women’s rights in africa;air travel;isPartial
2022-01-01;0;35;15;0;38;False
2022-01-02;0;70;18;0;72;False
2022-01-03;0;43;26;0;56;False
2022-01-04;0;88;33;0;59;False
2022-01-05;6;53;17;0;83;False
2022-01-06;5;71;27;0;65;False
2022-01-07;0;76;17;0;63;False
2022-01-08;0;69;9;0;77;False
2022-01-09;0;49;0;0;48;False
2022-01-10;0;84;14;0;98;False
2022-01-11;0;93;22;0;69;False
2022-01-12;0;90;19;0;80;False
2022-01-13;0;69;16;0;91;False
2022-01-14;0;68;9;0;79;False
2022-01-15;0;68;28;0;77;False
2022-01-16;0;60;8;0;91;False
2022-01-17;0;76;15;0;56;False
2022-01-18;0;95;17;0;51;False
2022-01-19;0;63;4;0;77;False
2022-01-20;0;79;0;0;51;False
2022-01-21;0;72;7;0;50;False
2022-01-22;0;53;5;0;45;False
2022-01-23;0;63;10;0;78;False
2022-01-24;0;78;16;0;89;False
2022-01-25;0;100;11;0;54;False
2022-01-26;0;91;21;0;70;False
2022-01-27;8;66;6;0;65;False
2022-01-28;0;82;17;0;67;False
2022-01-29;0;35;0;0;54;False
2022-01-30;7;46;9;0;71;False
2022-01-31;0;98;15;0;85;False
