date;greater manchester;Indie;Insurance;jeremy hunt;air travel;isPartial
2022-01-02;2;2;81;0;1;False
2022-01-09;2;2;91;0;1;False
2022-01-16;1;2;89;0;1;False
2022-01-23;2;2;92;0;1;False
2022-01-30;2;2;100;0;1;False
2022-02-06;1;2;90;0;1;False
2022-02-13;1;2;85;0;1;False
2022-02-20;1;2;88;0;1;False
2022-02-27;1;2;88;0;1;False
2022-03-06;1;2;86;0;1;False
2022-03-13;1;1;84;0;1;False
2022-03-20;1;1;95;0;1;False
2022-03-27;1;1;89;0;1;False
2022-04-03;1;2;89;0;1;False
2022-04-10;1;2;78;0;1;False
2022-04-17;1;2;76;0;1;False
2022-04-24;1;2;87;0;1;False
2022-05-01;1;2;87;0;1;False
2022-05-08;1;2;86;0;1;False
2022-05-15;1;2;83;1;1;False
2022-05-22;1;1;83;0;1;False
2022-05-29;1;2;77;0;1;False
2022-06-05;1;1;93;2;1;False
2022-06-12;1;1;89;0;1;False
2022-06-19;1;1;90;1;1;False
2022-06-26;1;1;87;0;1;False
2022-07-03;1;1;91;2;1;False
2022-07-10;1;2;88;3;1;False
2022-07-17;1;1;80;0;1;False
2022-07-24;1;1;100;0;1;False
2022-07-31;1;1;92;0;1;False
2022-08-07;1;1;88;0;1;False
2022-08-14;1;1;90;0;1;False
2022-08-21;1;1;80;0;1;False
2022-08-28;1;2;85;0;1;False
2022-09-04;1;1;88;0;1;False
2022-09-11;1;1;87;0;1;False
2022-09-18;1;1;81;0;1;False
2022-09-25;1;1;90;0;1;False
2022-10-02;1;1;84;0;1;False
2022-10-09;1;1;79;15;1;False
2022-10-16;1;1;82;13;1;False
2022-10-23;1;1;76;2;1;False
2022-10-30;1;1;75;1;1;False
2022-11-06;1;1;77;1;1;False
2022-11-13;1;1;74;4;1;False
2022-11-20;1;1;70;1;1;False
2022-11-27;1;1;71;0;1;False
2022-12-04;1;1;66;0;1;False
2022-12-11;1;1;67;0;1;False
2022-12-18;1;1;63;0;1;False
2022-12-25;1;1;62;0;1;False
2023-01-01;1;1;87;0;1;False
2023-01-08;1;1;91;0;1;False
2023-01-15;1;1;97;0;1;False
2023-01-22;1;1;91;1;1;False
2023-01-29;1;1;95;0;1;False
