date;Second homes;lizzo;Alexis Tsipras;Green party;air travel;isPartial
2022-01-02;2;6;0;5;12;False
2022-01-09;1;4;0;7;14;False
2022-01-16;2;4;0;7;10;False
2022-01-23;1;3;0;7;11;False
2022-01-30;1;4;0;7;13;False
2022-02-06;1;7;0;7;13;False
2022-02-13;1;4;0;5;13;False
2022-02-20;1;6;0;6;13;False
2022-02-27;3;4;0;6;11;False
2022-03-06;1;4;0;7;12;False
2022-03-13;2;9;0;7;12;False
2022-03-20;2;4;0;7;12;False
2022-03-27;2;7;0;6;12;False
2022-04-03;1;6;0;8;11;False
2022-04-10;2;11;0;10;10;False
2022-04-17;1;13;0;10;11;False
2022-04-24;1;13;0;12;11;False
2022-05-01;1;24;0;32;11;False
2022-05-08;2;26;0;9;12;False
2022-05-15;1;18;0;8;12;False
2022-05-22;2;18;0;7;12;False
2022-05-29;2;18;0;8;12;False
2022-06-05;2;22;0;7;13;False
2022-06-12;3;100;0;7;12;False
2022-06-19;2;16;0;6;11;False
2022-06-26;2;21;0;5;12;False
2022-07-03;2;16;0;6;12;False
2022-07-10;2;17;0;7;13;False
2022-07-17;2;16;0;7;12;False
2022-07-24;2;14;0;6;12;False
2022-07-31;2;22;0;5;11;False
2022-08-07;1;15;0;6;10;False
2022-08-14;1;12;0;5;10;False
2022-08-21;2;11;0;5;9;False
2022-08-28;2;17;0;5;10;False
2022-09-04;1;13;0;6;11;False
2022-09-11;1;13;0;9;9;False
2022-09-18;4;10;0;5;9;False
2022-09-25;2;19;0;8;9;False
2022-10-02;1;46;0;6;9;False
2022-10-09;1;20;0;6;8;False
2022-10-16;1;13;0;9;8;False
2022-10-23;1;12;0;7;7;False
2022-10-30;1;11;0;6;7;False
2022-11-06;1;9;0;9;8;False
2022-11-13;2;8;0;9;7;False
2022-11-20;1;9;0;7;8;False
2022-11-27;1;10;0;7;8;False
2022-12-04;1;11;0;7;7;False
2022-12-11;1;10;0;5;7;False
2022-12-18;1;13;0;3;7;False
2022-12-25;1;15;0;5;9;False
2023-01-01;1;10;0;5;10;False
2023-01-08;1;10;0;5;9;False
2023-01-15;2;8;0;7;9;False
2023-01-22;1;10;0;5;8;False
2023-01-29;1;10;0;7;9;False
