date;Libraries;Fashion;Greece;cumbria;air travel;isPartial
2022-01-02;8;74;46;26;4;False
2022-01-09;8;80;58;25;5;False
2022-01-16;7;73;56;23;4;False
2022-01-23;7;82;67;24;4;False
2022-01-30;8;73;58;24;5;False
2022-02-06;7;75;60;23;5;False
2022-02-13;7;77;59;29;5;False
2022-02-20;7;81;59;25;5;False
2022-02-27;7;82;52;22;4;False
2022-03-06;7;83;59;21;5;False
2022-03-13;7;81;60;22;4;False
2022-03-20;7;79;70;24;4;False
2022-03-27;7;70;72;24;5;False
2022-04-03;8;80;74;24;4;False
2022-04-10;6;72;76;24;4;False
2022-04-17;7;74;81;22;4;False
2022-04-24;7;78;81;25;4;False
2022-05-01;7;91;100;29;4;False
2022-05-08;7;77;96;25;4;False
2022-05-15;7;80;92;25;5;False
2022-05-22;7;85;87;25;4;False
2022-05-29;7;74;86;23;5;False
2022-06-05;7;76;96;25;5;False
2022-06-12;7;74;92;27;5;False
2022-06-19;7;72;87;24;4;False
2022-06-26;6;74;86;25;4;False
2022-07-03;6;74;83;23;5;False
2022-07-10;7;70;91;26;5;False
2022-07-17;7;65;92;26;5;False
2022-07-24;7;67;86;26;5;False
2022-07-31;7;72;81;26;4;False
2022-08-07;7;69;89;26;4;False
2022-08-14;6;67;77;24;4;False
2022-08-21;7;66;73;25;3;False
2022-08-28;7;73;68;23;4;False
2022-09-04;7;70;67;23;4;False
2022-09-11;7;81;67;22;3;False
2022-09-18;7;77;62;22;3;False
2022-09-25;7;80;56;23;3;False
2022-10-02;7;82;50;22;3;False
2022-10-09;7;81;45;22;3;False
2022-10-16;7;74;47;22;3;False
2022-10-23;7;75;46;19;3;False
2022-10-30;7;71;31;21;3;False
2022-11-06;7;72;30;21;3;False
2022-11-13;6;79;29;19;2;False
2022-11-20;6;77;26;17;3;False
2022-11-27;7;71;25;18;3;False
2022-12-04;6;71;23;21;3;False
2022-12-11;6;66;22;19;3;False
2022-12-18;6;56;25;19;2;False
2022-12-25;5;70;47;19;3;False
2023-01-01;8;69;58;21;4;False
2023-01-08;7;73;61;23;4;False
2023-01-15;7;73;59;23;3;False
2023-01-22;7;74;53;21;3;False
2023-01-29;7;70;49;22;3;False
