date;Trade policy;Aaron Rodgers;Labour party;Birds;air travel;isPartial
2022-01-02;1;3;5;81;7;False
2022-01-09;1;2;15;73;8;False
2022-01-16;1;2;10;83;6;False
2022-01-23;1;7;6;79;7;False
2022-01-30;1;2;7;91;8;False
2022-02-06;1;2;6;72;8;False
2022-02-13;0;3;4;75;8;False
2022-02-20;0;3;6;73;8;False
2022-02-27;1;2;5;70;7;False
2022-03-06;1;3;6;72;7;False
2022-03-13;1;2;6;76;7;False
2022-03-20;1;0;5;86;7;False
2022-03-27;1;0;6;78;8;False
2022-04-03;0;1;6;80;7;False
2022-04-10;0;0;7;86;6;False
2022-04-17;1;0;9;87;7;False
2022-04-24;1;1;14;90;7;False
2022-05-01;1;1;21;94;7;False
2022-05-08;1;0;9;87;7;False
2022-05-15;1;0;7;94;8;False
2022-05-22;1;1;6;89;7;False
2022-05-29;1;0;4;99;7;False
2022-06-05;1;1;8;94;8;False
2022-06-12;1;1;6;100;7;False
2022-06-19;0;0;7;96;7;False
2022-06-26;1;0;7;90;7;False
2022-07-03;0;1;12;86;8;False
2022-07-10;0;0;9;93;8;False
2022-07-17;1;0;9;88;7;False
2022-07-24;0;1;9;88;7;False
2022-07-31;0;1;6;79;7;False
2022-08-07;0;1;5;79;6;False
2022-08-14;0;0;5;78;6;False
2022-08-21;0;0;5;79;6;False
2022-08-28;0;2;6;68;6;False
2022-09-04;0;1;11;63;7;False
2022-09-11;0;3;5;67;6;False
2022-09-18;0;1;9;67;6;False
2022-09-25;0;2;24;59;6;False
2022-10-02;0;1;10;64;5;False
2022-10-09;1;2;8;65;5;False
2022-10-16;1;1;16;65;5;False
2022-10-23;1;1;13;65;4;False
2022-10-30;1;1;7;68;4;False
2022-11-06;1;1;6;68;5;False
2022-11-13;1;1;7;64;4;False
2022-11-20;0;1;5;56;5;False
2022-11-27;1;1;5;60;5;False
2022-12-04;1;1;7;57;4;False
2022-12-11;0;1;4;75;4;False
2022-12-18;0;1;4;69;4;False
2022-12-25;0;1;4;70;5;False
2023-01-01;0;2;4;67;6;False
2023-01-08;1;2;5;80;6;False
2023-01-15;1;1;6;85;6;False
2023-01-22;0;2;5;82;5;False
2023-01-29;0;1;6;80;6;False
