date;Dennis Potter;Social care;Essex;Mexico;air travel;isPartial
2022-01-02;0;10;46;27;2;False
2022-01-09;0;12;43;29;3;False
2022-01-16;0;11;42;27;2;False
2022-01-23;0;11;45;28;2;False
2022-01-30;0;12;47;28;2;False
2022-02-06;0;12;43;24;2;False
2022-02-13;0;10;48;24;2;False
2022-02-20;0;10;44;26;2;False
2022-02-27;0;11;42;23;2;False
2022-03-06;0;11;47;26;2;False
2022-03-13;0;11;44;25;2;False
2022-03-20;0;11;45;25;2;False
2022-03-27;0;12;41;27;2;False
2022-04-03;0;10;41;23;2;False
2022-04-10;0;8;42;21;2;False
2022-04-17;0;8;39;22;2;False
2022-04-24;0;11;43;22;2;False
2022-05-01;0;10;48;25;2;False
2022-05-08;0;12;44;23;2;False
2022-05-15;0;11;47;22;2;False
2022-05-22;0;10;44;21;2;False
2022-05-29;0;7;44;22;2;False
2022-06-05;0;10;43;21;2;False
2022-06-12;0;9;43;24;2;False
2022-06-19;0;9;41;20;2;False
2022-06-26;0;8;41;21;2;False
2022-07-03;0;8;44;18;2;False
2022-07-10;0;8;45;22;2;False
2022-07-17;0;7;49;22;2;False
2022-07-24;0;8;45;22;2;False
2022-07-31;0;7;46;20;2;False
2022-08-07;0;7;48;22;2;False
2022-08-14;0;7;42;21;2;False
2022-08-21;0;8;47;19;2;False
2022-08-28;0;8;43;20;2;False
2022-09-04;0;9;43;19;2;False
2022-09-11;0;10;42;20;2;False
2022-09-18;0;10;42;24;2;False
2022-09-25;0;11;43;21;2;False
2022-10-02;0;11;43;20;2;False
2022-10-09;0;11;41;19;2;False
2022-10-16;0;11;41;20;1;False
2022-10-23;0;8;40;27;1;False
2022-10-30;0;10;39;28;1;False
2022-11-06;0;11;40;20;1;False
2022-11-13;0;11;34;23;1;False
2022-11-20;0;9;32;100;2;False
2022-11-27;0;9;35;49;1;False
2022-12-04;0;9;35;17;1;False
2022-12-11;0;8;39;16;1;False
2022-12-18;0;6;34;19;1;False
2022-12-25;0;5;33;21;2;False
2023-01-01;0;9;38;25;2;False
2023-01-08;0;11;39;25;2;False
2023-01-15;0;11;43;24;2;False
2023-01-22;0;11;40;21;2;False
2023-01-29;0;11;44;21;2;False
