date;oklahoma;Channel 4;Afghanistan;royal family;air travel;isPartial
2022-01-02;2;34;7;7;4;False
2022-01-09;3;26;7;10;4;False
2022-01-16;2;20;9;7;3;False
2022-01-23;3;22;9;7;3;False
2022-01-30;3;25;9;7;4;False
2022-02-06;2;32;8;8;4;False
2022-02-13;2;21;6;8;4;False
2022-02-20;2;21;12;8;4;False
2022-02-27;2;24;14;6;3;False
2022-03-06;2;22;9;6;4;False
2022-03-13;2;28;8;6;4;False
2022-03-20;2;29;8;7;3;False
2022-03-27;2;27;6;8;4;False
2022-04-03;2;45;6;7;3;False
2022-04-10;3;31;6;7;3;False
2022-04-17;2;29;6;7;3;False
2022-04-24;3;27;6;7;3;False
2022-05-01;4;29;8;8;3;False
2022-05-08;3;32;7;9;4;False
2022-05-15;5;26;6;10;4;False
2022-05-22;3;26;8;11;3;False
2022-05-29;4;34;6;29;4;False
2022-06-05;3;51;8;18;4;False
2022-06-12;3;35;7;10;4;False
2022-06-19;3;38;11;7;3;False
2022-06-26;2;31;6;7;3;False
2022-07-03;2;39;5;6;4;False
2022-07-10;2;34;7;6;4;False
2022-07-17;3;21;5;7;4;False
2022-07-24;2;28;5;6;4;False
2022-07-31;2;21;6;6;3;False
2022-08-07;2;19;9;6;3;False
2022-08-14;2;17;9;7;3;False
2022-08-21;2;22;8;6;3;False
2022-08-28;2;23;12;7;3;False
2022-09-04;2;30;28;100;3;False
2022-09-11;2;33;6;85;3;False
2022-09-18;2;41;6;80;3;False
2022-09-25;3;45;6;18;3;False
2022-10-02;3;35;5;11;3;False
2022-10-09;2;31;6;9;3;False
2022-10-16;2;36;21;7;2;False
2022-10-23;2;54;10;9;2;False
2022-10-30;2;33;12;7;2;False
2022-11-06;2;26;6;14;2;False
2022-11-13;2;32;6;13;2;False
2022-11-20;2;18;8;10;2;False
2022-11-27;2;18;10;12;2;False
2022-12-04;2;29;5;11;2;False
2022-12-11;2;22;6;12;2;False
2022-12-18;3;22;7;12;2;False
2022-12-25;5;21;7;14;3;False
2023-01-01;3;25;7;11;3;False
2023-01-08;3;20;8;13;3;False
2023-01-15;2;22;7;10;3;False
2023-01-22;2;20;6;8;2;False
2023-01-29;3;20;6;8;3;False
