date;Hunting;Public sector pay;football;energy crisis;air travel;isPartial
2022-01-02;1;0;47;0;0;False
2022-01-09;1;0;51;0;0;False
2022-01-16;1;0;49;0;0;False
2022-01-23;1;0;44;0;0;False
2022-01-30;1;0;50;0;0;False
2022-02-06;1;0;52;0;0;False
2022-02-13;1;0;48;0;0;False
2022-02-20;1;0;55;0;0;False
2022-02-27;1;0;50;0;0;False
2022-03-06;1;0;52;0;0;False
2022-03-13;1;0;54;0;0;False
2022-03-20;1;0;48;0;0;False
2022-03-27;1;0;39;0;0;False
2022-04-03;1;0;49;0;0;False
2022-04-10;1;0;54;0;0;False
2022-04-17;1;0;54;0;0;False
2022-04-24;0;0;52;0;0;False
2022-05-01;1;0;64;0;0;False
2022-05-08;1;0;54;0;0;False
2022-05-15;1;0;58;0;0;False
2022-05-22;0;0;42;0;0;False
2022-05-29;1;0;39;0;0;False
2022-06-05;1;0;43;0;0;False
2022-06-12;1;0;32;0;0;False
2022-06-19;1;0;23;0;0;False
2022-06-26;1;0;22;0;0;False
2022-07-03;1;0;26;0;0;False
2022-07-10;1;0;31;0;0;False
2022-07-17;1;0;32;0;0;False
2022-07-24;1;0;42;0;0;False
2022-07-31;1;0;58;0;0;False
2022-08-07;1;0;51;0;0;False
2022-08-14;1;0;47;0;0;False
2022-08-21;1;0;59;0;0;False
2022-08-28;1;0;66;0;0;False
2022-09-04;1;0;55;0;0;False
2022-09-11;1;0;51;0;0;False
2022-09-18;1;0;47;0;0;False
2022-09-25;1;0;43;0;0;False
2022-10-02;1;0;55;0;0;False
2022-10-09;1;0;57;0;0;False
2022-10-16;1;0;66;0;0;False
2022-10-23;1;0;55;0;0;False
2022-10-30;1;0;53;0;0;False
2022-11-06;1;0;66;0;0;False
2022-11-13;1;0;44;0;0;False
2022-11-20;1;0;100;0;0;False
2022-11-27;1;0;87;0;0;False
2022-12-04;1;0;80;0;0;False
2022-12-11;1;0;45;1;0;False
2022-12-18;1;0;43;1;0;False
2022-12-25;1;0;69;1;0;False
2023-01-01;1;0;62;1;0;False
2023-01-08;1;0;58;1;0;False
2023-01-15;1;0;59;1;0;False
2023-01-22;1;0;58;1;0;False
2023-01-29;1;0;56;1;0;False
