date;Tony Wilson;Sea ice;Peru;Fiction;air travel;isPartial
2022-01-02;2;4;50;91;23;False
2022-01-09;2;4;48;89;26;False
2022-01-16;2;5;59;80;20;False
2022-01-23;2;4;75;81;22;False
2022-01-30;2;4;63;85;25;False
2022-02-06;2;2;51;78;24;False
2022-02-13;2;4;47;71;25;False
2022-02-20;2;3;52;75;25;False
2022-02-27;1;3;48;76;22;False
2022-03-06;2;2;48;74;23;False
2022-03-13;1;3;51;75;23;False
2022-03-20;1;4;62;72;22;False
2022-03-27;12;3;60;72;24;False
2022-04-03;2;4;56;69;22;False
2022-04-10;2;2;42;67;19;False
2022-04-17;3;3;46;65;21;False
2022-04-24;2;3;50;72;22;False
2022-05-01;2;2;50;75;22;False
2022-05-08;3;4;50;75;23;False
2022-05-15;2;4;51;81;24;False
2022-05-22;3;4;47;72;22;False
2022-05-29;1;3;47;70;23;False
2022-06-05;2;3;63;75;26;False
2022-06-12;3;4;100;77;23;False
2022-06-19;2;3;41;71;21;False
2022-06-26;1;2;49;70;22;False
2022-07-03;2;3;42;68;23;False
2022-07-10;1;4;45;72;24;False
2022-07-17;1;4;43;69;23;False
2022-07-24;1;3;49;66;23;False
2022-07-31;1;3;40;73;21;False
2022-08-07;2;4;40;65;20;False
2022-08-14;1;3;40;67;20;False
2022-08-21;1;4;40;68;17;False
2022-08-28;1;4;41;73;19;False
2022-09-04;2;3;40;71;20;False
2022-09-11;1;4;50;77;18;False
2022-09-18;2;3;45;76;17;False
2022-09-25;4;3;51;92;17;False
2022-10-02;1;3;39;79;17;False
2022-10-09;2;3;42;78;16;False
2022-10-16;2;4;43;75;15;False
2022-10-23;1;4;42;82;14;False
2022-10-30;3;4;41;79;13;False
2022-11-06;4;4;43;75;15;False
2022-11-13;2;4;49;76;13;False
2022-11-20;5;3;49;70;16;False
2022-11-27;2;4;39;78;16;False
2022-12-04;2;3;59;83;13;False
2022-12-11;1;4;67;89;14;False
2022-12-18;1;4;57;81;13;False
2022-12-25;1;5;49;84;17;False
2023-01-01;4;3;48;80;20;False
2023-01-08;1;4;54;99;18;False
2023-01-15;3;4;56;83;18;False
2023-01-22;1;4;55;74;16;False
2023-01-29;2;4;51;79;18;False
