date;Berlin Wall;US immigration;Inflation;Social media;air travel;isPartial
2022-01-02;3;1;42;56;12;False
2022-01-09;3;1;52;61;13;False
2022-01-16;3;1;61;51;10;False
2022-01-23;4;1;52;55;11;False
2022-01-30;4;1;59;61;13;False
2022-02-06;4;1;51;57;12;False
2022-02-13;4;1;48;54;13;False
2022-02-20;9;1;46;59;13;False
2022-02-27;9;1;49;60;11;False
2022-03-06;7;1;55;57;12;False
2022-03-13;7;1;58;61;12;False
2022-03-20;5;1;65;59;11;False
2022-03-27;7;1;54;66;12;False
2022-04-03;5;1;45;60;11;False
2022-04-10;4;1;56;49;10;False
2022-04-17;4;1;42;52;10;False
2022-04-24;4;1;47;67;11;False
2022-05-01;5;1;64;58;11;False
2022-05-08;5;1;60;63;12;False
2022-05-15;5;1;100;54;12;False
2022-05-22;5;1;50;50;11;False
2022-05-29;3;1;45;42;12;False
2022-06-05;4;1;59;51;13;False
2022-06-12;4;1;68;52;12;False
2022-06-19;4;1;87;51;10;False
2022-06-26;5;1;50;48;11;False
2022-07-03;4;1;50;50;12;False
2022-07-10;5;1;57;51;12;False
2022-07-17;3;1;60;45;12;False
2022-07-24;3;1;49;44;12;False
2022-07-31;3;1;75;48;10;False
2022-08-07;3;1;57;46;10;False
2022-08-14;2;1;77;43;10;False
2022-08-21;3;1;80;45;9;False
2022-08-28;5;1;58;46;10;False
2022-09-04;4;1;51;51;10;False
2022-09-11;4;1;58;52;9;False
2022-09-18;4;1;52;50;9;False
2022-09-25;4;1;68;53;9;False
2022-10-02;4;1;58;54;8;False
2022-10-09;4;1;64;55;8;False
2022-10-16;3;0;82;53;7;False
2022-10-23;4;1;50;50;7;False
2022-10-30;4;1;57;55;7;False
2022-11-06;5;1;57;58;8;False
2022-11-13;4;1;92;58;6;False
2022-11-20;5;1;42;53;8;False
2022-11-27;4;1;47;54;8;False
2022-12-04;4;1;44;56;7;False
2022-12-11;4;1;57;52;7;False
2022-12-18;4;1;46;45;6;False
2022-12-25;4;1;32;39;9;False
2023-01-01;4;1;49;55;10;False
2023-01-08;4;1;55;61;9;False
2023-01-15;4;1;62;63;9;False
2023-01-22;5;1;49;60;8;False
2023-01-29;4;1;60;60;9;False
