date;New England Patriots;LGBTQ+ rights;Savills;Henri Cartier-Bresson;air travel;isPartial
2022-01-02;2;54;10;0;6;False
2022-01-09;2;66;12;0;7;False
2022-01-16;2;62;11;0;5;False
2022-01-23;1;62;10;0;6;False
2022-01-30;2;69;12;0;7;False
2022-02-06;1;63;11;0;7;False
2022-02-13;1;61;10;0;7;False
2022-02-20;1;63;10;0;7;False
2022-02-27;1;63;10;0;6;False
2022-03-06;1;70;10;0;6;False
2022-03-13;1;64;10;0;6;False
2022-03-20;1;72;10;0;6;False
2022-03-27;1;69;9;0;6;False
2022-04-03;1;65;10;0;6;False
2022-04-10;1;53;10;0;5;False
2022-04-17;1;57;9;0;6;False
2022-04-24;1;65;11;0;6;False
2022-05-01;1;67;11;0;6;False
2022-05-08;1;75;11;0;6;False
2022-05-15;1;69;11;0;6;False
2022-05-22;1;67;11;0;6;False
2022-05-29;1;55;9;0;6;False
2022-06-05;1;66;11;0;7;False
2022-06-12;1;76;11;0;6;False
2022-06-19;1;87;10;0;6;False
2022-06-26;1;100;10;0;6;False
2022-07-03;1;61;11;0;6;False
2022-07-10;1;60;11;0;7;False
2022-07-17;1;59;11;0;6;False
2022-07-24;1;62;10;0;6;False
2022-07-31;0;52;10;0;6;False
2022-08-07;1;50;10;0;5;False
2022-08-14;1;43;10;0;5;False
2022-08-21;1;48;10;0;5;False
2022-08-28;1;52;10;0;5;False
2022-09-04;1;60;10;0;6;False
2022-09-11;2;57;11;0;5;False
2022-09-18;2;54;10;0;5;False
2022-09-25;1;61;10;0;5;False
2022-10-02;2;59;11;0;5;False
2022-10-09;2;63;10;0;4;False
2022-10-16;2;60;9;0;4;False
2022-10-23;2;58;8;0;4;False
2022-10-30;2;62;9;0;4;False
2022-11-06;1;69;11;0;4;False
2022-11-13;1;68;9;0;3;False
2022-11-20;2;74;8;0;4;False
2022-11-27;1;65;8;0;4;False
2022-12-04;1;59;7;0;4;False
2022-12-11;2;55;9;0;4;False
2022-12-18;2;40;7;0;3;False
2022-12-25;1;33;5;0;5;False
2023-01-01;1;50;7;0;5;False
2023-01-08;2;61;8;0;5;False
2023-01-15;1;64;10;0;5;False
2023-01-22;1;64;10;0;4;False
2023-01-29;1;63;9;0;5;False
