date;Iga Swiatek;Weekend breaks;Michelle Yeoh;The news on TV;air travel;isPartial
2022-01-02;7;68;4;0;38;False
2022-01-09;3;79;2;0;44;False
2022-01-16;11;76;2;0;33;False
2022-01-23;22;68;3;0;36;False
2022-01-30;2;78;3;0;42;False
2022-02-06;1;65;2;0;41;False
2022-02-13;4;61;1;0;42;False
2022-02-20;12;62;2;0;42;False
2022-02-27;4;58;2;0;37;False
2022-03-06;5;59;2;0;39;False
2022-03-13;16;61;3;0;38;False
2022-03-20;19;57;2;0;38;False
2022-03-27;26;53;3;0;40;False
2022-04-03;13;60;4;0;37;False
2022-04-10;4;55;8;0;32;False
2022-04-17;21;51;6;0;35;False
2022-04-24;13;53;5;0;36;False
2022-05-01;4;59;7;0;37;False
2022-05-08;16;50;10;0;38;False
2022-05-15;15;57;16;0;40;False
2022-05-22;31;52;15;0;38;False
2022-05-29;100;46;12;0;38;False
2022-06-05;30;51;9;0;43;False
2022-06-12;8;52;6;0;39;False
2022-06-19;12;53;6;0;35;False
2022-06-26;84;57;6;0;37;False
2022-07-03;17;53;7;0;39;False
2022-07-10;4;54;7;0;41;False
2022-07-17;2;56;5;0;39;False
2022-07-24;9;64;5;0;39;False
2022-07-31;3;60;5;0;35;False
2022-08-07;8;58;9;0;34;False
2022-08-14;7;57;7;0;33;False
2022-08-21;2;57;6;0;29;False
2022-08-28;14;54;5;0;32;False
2022-09-04;55;50;8;0;34;False
2022-09-11;29;57;7;0;30;False
2022-09-18;3;58;5;0;29;False
2022-09-25;4;55;4;0;29;False
2022-10-02;10;52;3;0;28;False
2022-10-09;16;57;4;0;27;False
2022-10-16;12;50;4;0;25;False
2022-10-23;3;47;5;0;23;False
2022-10-30;11;45;4;0;23;False
2022-11-06;7;50;4;0;25;False
2022-11-13;2;40;3;0;21;False
2022-11-20;1;39;3;0;27;False
2022-11-27;1;39;5;0;26;False
2022-12-04;1;33;9;0;22;False
2022-12-11;0;33;7;0;23;False
2022-12-18;2;41;11;0;21;False
2022-12-25;2;55;20;0;28;False
2023-01-01;6;83;9;0;33;False
2023-01-08;4;79;50;0;30;False
2023-01-15;21;71;21;0;30;False
2023-01-22;10;81;28;0;27;False
2023-01-29;4;71;65;0;29;False
