date;Apprenticeships;Kamila Valieva;Forest Green Rovers;Coen brothers;air travel;isPartial
2022-01-02;74;0;5;3;18;False
2022-01-09;89;0;4;3;21;False
2022-01-16;81;0;5;1;15;False
2022-01-23;81;0;5;2;17;False
2022-01-30;87;1;5;1;19;False
2022-02-06;100;41;5;2;19;False
2022-02-13;76;62;4;2;19;False
2022-02-20;70;11;4;3;20;False
2022-02-27;79;2;4;2;17;False
2022-03-06;76;1;5;2;18;False
2022-03-13;73;1;4;2;18;False
2022-03-20;72;1;6;3;17;False
2022-03-27;71;1;3;2;19;False
2022-04-03;61;0;6;2;17;False
2022-04-10;58;1;4;2;15;False
2022-04-17;59;0;9;2;16;False
2022-04-24;66;1;8;1;17;False
2022-05-01;69;0;6;1;17;False
2022-05-08;70;0;10;1;18;False
2022-05-15;70;0;3;1;19;False
2022-05-22;69;1;3;1;18;False
2022-05-29;52;0;2;1;18;False
2022-06-05;73;1;2;1;20;False
2022-06-12;69;0;1;1;18;False
2022-06-19;73;0;2;1;16;False
2022-06-26;69;0;3;1;17;False
2022-07-03;68;0;3;1;18;False
2022-07-10;69;0;2;1;19;False
2022-07-17;64;0;3;2;18;False
2022-07-24;65;0;6;1;18;False
2022-07-31;63;0;6;1;16;False
2022-08-07;60;0;6;2;16;False
2022-08-14;73;0;6;1;15;False
2022-08-21;82;0;8;1;13;False
2022-08-28;66;0;5;2;15;False
2022-09-04;76;0;3;1;16;False
2022-09-11;75;1;4;1;14;False
2022-09-18;74;0;5;1;14;False
2022-09-25;74;1;4;1;14;False
2022-10-02;75;0;4;1;13;False
2022-10-09;71;0;3;1;13;False
2022-10-16;64;2;3;1;11;False
2022-10-23;59;0;3;1;11;False
2022-10-30;65;0;9;1;11;False
2022-11-06;68;0;4;1;12;False
2022-11-13;68;1;3;1;10;False
2022-11-20;59;0;6;1;12;False
2022-11-27;64;0;3;2;12;False
2022-12-04;57;0;2;1;10;False
2022-12-11;56;1;3;1;11;False
2022-12-18;46;0;3;2;10;False
2022-12-25;36;1;4;2;13;False
2023-01-01;72;0;7;1;15;False
2023-01-08;83;2;3;1;14;False
2023-01-15;83;0;7;1;14;False
2023-01-22;83;0;15;2;13;False
2023-01-29;83;0;6;1;14;False
